id_nota_credito;folio_nc;id_documento_referencia;fecha_emision;motivo;moneda;monto_total
NC-00105;3105;DOC-2024-00995;2024-11-30;DESCUENTO;CLP;646303
NC-00220;3220;DOC-2024-01598;2024-11-30;AJUSTE_CALIDAD;CLP;7799635
NC-00109;3109;DOC-2024-01526;2024-12-02;DEVOLUCION;CLP;1413841
NC-00112;3112;DOC-2024-01914;2024-12-19;DEVOLUCION;CLP;876523
NC-00113;3113;DOC-2024-01348;2024-12-21;DESCUENTO;CLP;125834
NC-00108;3108;DOC-2024-01969;2024-12-24;DESCUENTO;CLP;2564005
NC-00100;3100;DOC-2024-00453;2024-12-29;DEVOLUCION;CLP;379138
NC-00221;3221;DOC-2024-01399;2025-01-03;AJUSTE_CALIDAD;CLP;3562493
NC-00021;3021;DOC-2024-00834;2025-01-05;ANULACION;CLP;6290965
NC-00120;3120;DOC-2024-01124;2025-01-06;DEVOLUCION;CLP;468450
NC-00219;3219;DOC-2024-00995;2025-01-08;AJUSTE_CALIDAD;CLP;5099930
NC-00103;3103;DOC-2024-00619;2025-01-09;DEVOLUCION;CLP;692283
NC-00022;3022;DOC-2024-00776;2025-01-10;ANULACION;CLP;4409725
NC-00111;3111;DOC-2024-01399;2025-01-10;DESCUENTO;CLP;610052
NC-00119;3119;DOC-2024-01255;2025-01-10;DEVOLUCION;CLP;5497251
NC-00116;3116;DOC-2024-01289;2025-01-13;DESCUENTO;CLP;405045
NC-00121;3121;DOC-2025-03571;2025-01-15;DEVOLUCION;CLP;4862946
NC-00102;3102;DOC-2024-01829;2025-01-16;DEVOLUCION;CLP;9726049
NC-00115;3115;DOC-2024-00574;2025-01-17;DESCUENTO;CLP;593613
NC-00110;3110;DOC-2024-00032;2025-01-18;DEVOLUCION;USD;4754.01
NC-00123;3123;DOC-2025-04106;2025-01-24;DESCUENTO;CLP;1324799
NC-00118;3118;DOC-2024-01675;2025-01-29;DEVOLUCION;CLP;2653300
NC-00125;3125;DOC-2025-03326;2025-02-10;DESCUENTO;CLP;490486
NC-00114;3114;DOC-2024-01973;2025-02-13;DEVOLUCION;CLP;3215401
NC-00117;3117;DOC-2024-01797;2025-02-14;DEVOLUCION;CLP;7669275
NC-00222;3222;DOC-2024-01011;2025-02-16;AJUSTE_CALIDAD;CLP;7033269
NC-00122;3122;DOC-2025-03001;2025-02-19;DESCUENTO;CLP;2530094
NC-00225;3225;DOC-2025-03313;2025-02-23;AJUSTE_CALIDAD;CLP;2027249
NC-00132;3132;DOC-2025-03259;2025-02-24;DESCUENTO;CLP;2199316
NC-00137;3137;DOC-2025-02087;2025-02-25;DESCUENTO;USD;11103.18
NC-00023;3023;DOC-2025-02065;2025-02-28;ANULACION;USD;77656.79
NC-00139;3139;DOC-2025-04041;2025-02-28;DESCUENTO;CLP;345181
NC-00129;3129;DOC-2025-03819;2025-03-03;DESCUENTO;CLP;629134
NC-00136;3136;DOC-2025-04283;2025-03-06;DESCUENTO;CLP;310271
NC-00024;3024;DOC-2025-03210;2025-03-13;ANULACION;CLP;2283636
NC-00226;3226;DOC-2025-03283;2025-03-15;AJUSTE_CALIDAD;CLP;627784
NC-00025;3025;DOC-2025-04212;2025-03-18;ANULACION;CLP;35997424
NC-00124;3124;DOC-2025-04184;2025-03-25;DESCUENTO;CLP;166453
NC-00127;3127;DOC-2025-03647;2025-03-27;DEVOLUCION;CLP;340958
NC-00026;3026;DOC-2025-03632;2025-03-29;ANULACION;CLP;7353233
NC-00027;3027;DOC-2025-02632;2025-03-29;ANULACION;CLP;2337303
NC-00126;3126;DOC-2025-04179;2025-03-30;DESCUENTO;CLP;191754
NC-00028;3028;DOC-2025-02389;2025-03-31;ANULACION;USD;84514.14
NC-00141;3141;DOC-2025-02254;2025-03-31;DEVOLUCION;USD;50255.31
NC-00223;3223;DOC-2025-03486;2025-04-02;AJUSTE_CALIDAD;CLP;1436841
NC-00228;3228;DOC-2025-03265;2025-04-03;AJUSTE_CALIDAD;CLP;5577890
NC-00130;3130;DOC-2025-02989;2025-04-05;DESCUENTO;CLP;1348557
NC-00229;3229;DOC-2025-04215;2025-04-08;AJUSTE_CALIDAD;CLP;1291631
NC-00230;3230;DOC-2025-03196;2025-04-08;AJUSTE_CALIDAD;CLP;7240551
NC-00227;3227;DOC-2025-02885;2025-04-10;AJUSTE_CALIDAD;CLP;3830330
NC-00138;3138;DOC-2025-03785;2025-04-11;DEVOLUCION;CLP;897465
NC-00140;3140;DOC-2025-02755;2025-04-11;DESCUENTO;CLP;602648
NC-00131;3131;DOC-2025-02763;2025-04-12;DESCUENTO;CLP;867975
NC-00128;3128;DOC-2025-03024;2025-04-13;DEVOLUCION;CLP;1762124
NC-00134;3134;DOC-2025-03263;2025-04-13;DEVOLUCION;CLP;1478935
NC-00143;3143;DOC-2025-03080;2025-04-15;DESCUENTO;CLP;1004649
NC-00224;3224;DOC-2025-03637;2025-04-19;AJUSTE_CALIDAD;CLP;6384138
NC-00135;3135;DOC-2025-04060;2025-04-23;DESCUENTO;CLP;787655
NC-00145;3145;DOC-2025-03457;2025-04-25;DESCUENTO;CLP;328847
NC-00232;3232;DOC-2025-04065;2025-04-26;AJUSTE_CALIDAD;CLP;2910039
NC-00029;3029;DOC-2025-04170;2025-04-27;ANULACION;CLP;6696297
NC-00133;3133;DOC-2025-04046;2025-04-27;DESCUENTO;CLP;281702
NC-00030;3030;DOC-2025-03006;2025-05-04;ANULACION;CLP;3214207
NC-00031;3031;DOC-2025-02983;2025-05-09;ANULACION;CLP;4482051
NC-00147;3147;DOC-2025-03591;2025-05-13;DEVOLUCION;CLP;2453400
NC-00233;3233;DOC-2025-03073;2025-05-14;AJUSTE_CALIDAD;CLP;7431789
NC-00236;3236;DOC-2025-02250;2025-05-16;AJUSTE_CALIDAD;USD;17744.7
NC-00235;3235;DOC-2025-03373;2025-05-19;AJUSTE_CALIDAD;CLP;1911360
NC-00144;3144;DOC-2025-03201;2025-05-20;DESCUENTO;CLP;1309079
NC-00142;3142;DOC-2025-04242;2025-05-23;DESCUENTO;CLP;1079793
NC-00148;3148;DOC-2025-02630;2025-05-23;DEVOLUCION;CLP;431363
NC-00032;3032;DOC-2025-02293;2025-05-26;ANULACION;USD;105753.15
NC-00153;3153;DOC-2025-03845;2025-05-30;DESCUENTO;CLP;334818
NC-00231;3231;DOC-2025-03896;2025-06-01;AJUSTE_CALIDAD;CLP;5614366
NC-00152;3152;DOC-2025-02714;2025-06-06;DESCUENTO;CLP;4005920
NC-00146;3146;DOC-2025-02780;2025-06-14;DEVOLUCION;CLP;1066760
NC-00151;3151;DOC-2025-03987;2025-06-17;DESCUENTO;CLP;1621533
NC-00033;3033;DOC-2025-03316;2025-06-18;ANULACION;CLP;7036349
NC-00149;3149;DOC-2025-02111;2025-06-18;DESCUENTO;USD;2708.52
NC-00150;3150;DOC-2025-04255;2025-06-20;DEVOLUCION;CLP;782028
NC-00157;3157;DOC-2025-03696;2025-06-22;DESCUENTO;CLP;410772
NC-00155;3155;DOC-2025-03203;2025-06-23;DEVOLUCION;CLP;1790185
NC-00034;3034;DOC-2025-02215;2025-07-01;ANULACION;USD;71303.3
NC-00156;3156;DOC-2025-03550;2025-07-02;DEVOLUCION;CLP;1390320
NC-00238;3238;DOC-2025-03744;2025-07-02;AJUSTE_CALIDAD;CLP;2912476
NC-00234;3234;DOC-2025-02819;2025-07-07;AJUSTE_CALIDAD;CLP;2358560
NC-00237;3237;DOC-2025-03130;2025-07-11;AJUSTE_CALIDAD;CLP;4973624
NC-00158;3158;DOC-2025-02136;2025-07-12;DEVOLUCION;USD;12914.29
NC-00239;3239;DOC-2025-02831;2025-07-13;AJUSTE_CALIDAD;CLP;477686
NC-00035;3035;DOC-2025-04028;2025-07-23;ANULACION;CLP;16061334
NC-00154;3154;DOC-2025-04354;2025-08-04;DEVOLUCION;CLP;3017717
NC-00037;3037;DOC-2025-04287;2025-08-14;ANULACION;CLP;8828860
NC-00036;3036;DOC-2025-02028;2025-08-16;ANULACION;USD;52642.01
NC-00160;3160;DOC-2025-03388;2025-08-16;DESCUENTO;CLP;711915
NC-00038;3038;DOC-2025-03242;2025-08-17;ANULACION;CLP;4867894
NC-00040;3040;DOC-2025-04123;2025-08-18;ANULACION;CLP;12043199
NC-00165;3165;DOC-2025-03096;2025-08-22;DESCUENTO;CLP;976531
NC-00164;3164;DOC-2025-02180;2025-08-29;DESCUENTO;USD;3017.84
NC-00039;3039;DOC-2025-02801;2025-08-31;ANULACION;CLP;13896844
NC-00242;3242;DOC-2025-02838;2025-09-09;AJUSTE_CALIDAD;CLP;3798628
NC-00159;3159;DOC-2025-03483;2025-09-10;DEVOLUCION;CLP;4162822
NC-00240;3240;DOC-2025-02940;2025-09-11;AJUSTE_CALIDAD;CLP;3127752
NC-00161;3161;DOC-2025-03302;2025-09-16;DESCUENTO;CLP;816857
NC-00162;3162;DOC-2025-03360;2025-09-17;DESCUENTO;CLP;332583
NC-00241;3241;DOC-2025-03102;2025-09-24;AJUSTE_CALIDAD;CLP;4131520
NC-00163;3163;DOC-2025-02683;2025-09-26;DESCUENTO;CLP;348903
NC-00174;3174;DOC-2025-03307;2025-09-30;DEVOLUCION;CLP;444943
NC-00175;3175;DOC-2025-02577;2025-10-01;DESCUENTO;CLP;281569
NC-00173;3173;DOC-2025-04091;2025-10-05;DESCUENTO;CLP;1136401
NC-00041;3041;DOC-2025-04126;2025-10-07;ANULACION;CLP;40406131
NC-00042;3042;DOC-2025-03076;2025-10-08;ANULACION;CLP;1020016
NC-00043;3043;DOC-2025-02833;2025-10-13;ANULACION;CLP;7323517
NC-00177;3177;DOC-2025-03193;2025-10-13;DESCUENTO;CLP;1042051
NC-00171;3171;DOC-2025-03174;2025-10-17;DEVOLUCION;CLP;8071608
NC-00244;3244;DOC-2025-03683;2025-10-17;AJUSTE_CALIDAD;CLP;2644096
NC-00172;3172;DOC-2025-03795;2025-10-18;DESCUENTO;CLP;486270
NC-00176;3176;DOC-2025-02227;2025-10-22;DESCUENTO;USD;9473.79
NC-00044;3044;DOC-2025-02645;2025-10-27;ANULACION;CLP;4261333
NC-00169;3169;DOC-2025-02876;2025-10-27;DESCUENTO;CLP;107217
NC-00181;3181;DOC-2025-03369;2025-10-28;DESCUENTO;CLP;575845
NC-00245;3245;DOC-2025-03412;2025-11-01;AJUSTE_CALIDAD;CLP;4517728
NC-00243;3243;DOC-2025-03982;2025-11-05;AJUSTE_CALIDAD;CLP;1452825
NC-00166;3166;DOC-2025-02603;2025-11-06;DEVOLUCION;CLP;1439633
NC-00167;3167;DOC-2025-04104;2025-11-06;DESCUENTO;CLP;2128621
NC-00168;3168;DOC-2025-02774;2025-11-10;DEVOLUCION;CLP;3956093
NC-00184;3184;DOC-2025-03239;2025-11-16;DESCUENTO;CLP;718192
NC-00045;3045;DOC-2025-03060;2025-11-19;ANULACION;CLP;2844671
NC-00170;3170;DOC-2025-03666;2025-11-20;DEVOLUCION;CLP;2076460
NC-00187;3187;DOC-2025-02499;2025-11-27;DEVOLUCION;USD;6327.46
NC-00189;3189;DOC-2025-03634;2025-11-27;DEVOLUCION;CLP;1687204
NC-00180;3180;DOC-2025-03195;2025-12-01;DEVOLUCION;CLP;3783797
NC-00178;3178;DOC-2025-03402;2025-12-04;DESCUENTO;CLP;257331
NC-00047;3047;DOC-2025-04208;2025-12-05;ANULACION;CLP;6335932
NC-00179;3179;DOC-2025-04177;2025-12-11;DEVOLUCION;CLP;37586351
NC-00046;3046;DOC-2025-02531;2025-12-13;ANULACION;CLP;3035748
NC-00260;3260;DOC-2025-03611;2025-12-15;DESCUENTO;CLP;404295
NC-00261;3261;DOC-2025-02377;2025-12-15;AJUSTE_CALIDAD;USD;17645.27
NC-00270;3270;DOC-2025-02911;2025-12-15;DESCUENTO;CLP;269044
NC-00276;3276;DOC-2025-03666;2025-12-16;DEVOLUCION;CLP;712018
NC-00281;3281;DOC-2025-03380;2025-12-16;DEVOLUCION;CLP;3484222
NC-00290;3290;DOC-2025-02280;2025-12-16;AJUSTE_CALIDAD;USD;9950.63
NC-00268;3268;DOC-2025-03897;2025-12-17;DEVOLUCION;CLP;1269493
NC-00280;3280;DOC-2025-03707;2025-12-17;DESCUENTO;CLP;94745
NC-00252;3252;DOC-2025-02620;2025-12-18;DEVOLUCION;CLP;471551
NC-00279;3279;DOC-2025-02430;2025-12-18;DESCUENTO;USD;1250.24
NC-00291;3291;DOC-2025-02243;2025-12-18;DESCUENTO;USD;4368.04
NC-00258;3258;DOC-2025-03084;2025-12-19;AJUSTE_CALIDAD;CLP;8131796
NC-00267;3267;DOC-2025-03681;2025-12-19;DEVOLUCION;CLP;523277
NC-00275;3275;DOC-2025-03872;2025-12-19;DEVOLUCION;CLP;5201857
NC-00287;3287;DOC-2025-04278;2025-12-19;DEVOLUCION;CLP;1855961
NC-00186;3186;DOC-2025-03701;2025-12-20;DESCUENTO;CLP;150852
NC-00256;3256;DOC-2025-04062;2025-12-20;DESCUENTO;CLP;3553864
NC-00264;3264;DOC-2025-03379;2025-12-20;AJUSTE_CALIDAD;CLP;994338
NC-00257;3257;DOC-2025-02544;2025-12-21;AJUSTE_CALIDAD;CLP;3058460
NC-00259;3259;DOC-2025-02221;2025-12-21;AJUSTE_CALIDAD;USD;5203.67
NC-00294;3294;DOC-2025-02999;2025-12-21;DESCUENTO;CLP;798170
NC-00253;3253;DOC-2025-02993;2025-12-22;AJUSTE_CALIDAD;CLP;757459
NC-00288;3288;DOC-2025-03089;2025-12-22;DEVOLUCION;CLP;1085167
NC-00190;3190;DOC-2025-02847;2025-12-23;DESCUENTO;CLP;1064931
NC-00251;3251;DOC-2025-03365;2025-12-23;DESCUENTO;CLP;8262370
NC-00255;3255;DOC-2025-02137;2025-12-23;AJUSTE_CALIDAD;USD;6783.18
NC-00285;3285;DOC-2025-04112;2025-12-23;DEVOLUCION;CLP;1649161
NC-00274;3274;DOC-2025-04140;2025-12-24;DEVOLUCION;CLP;2261123
NC-00277;3277;DOC-2025-03903;2025-12-24;DESCUENTO;CLP;185388
NC-00295;3295;DOC-2025-03602;2025-12-24;DEVOLUCION;CLP;738554
NC-00254;3254;DOC-2025-02731;2025-12-25;AJUSTE_CALIDAD;CLP;59952
NC-00272;3272;DOC-2025-02618;2025-12-25;DEVOLUCION;CLP;2622617
NC-00278;3278;DOC-2025-02918;2025-12-25;AJUSTE_CALIDAD;CLP;3755043
NC-00284;3284;DOC-2025-03152;2025-12-25;AJUSTE_CALIDAD;CLP;5679082
NC-00292;3292;DOC-2025-03292;2025-12-25;DEVOLUCION;CLP;4517752
NC-00273;3273;DOC-2025-03026;2025-12-26;DEVOLUCION;CLP;830253
NC-00283;3283;DOC-2025-02127;2025-12-26;DEVOLUCION;USD;5075.84
NC-00286;3286;DOC-2025-02302;2025-12-26;AJUSTE_CALIDAD;USD;2421.72
NC-00289;3289;DOC-2025-03691;2025-12-26;DESCUENTO;CLP;5175462
NC-00048;3048;DOC-2025-02974;2025-12-27;ANULACION;CLP;5876606
NC-00263;3263;DOC-2025-02581;2025-12-27;DESCUENTO;CLP;5231892
NC-00266;3266;DOC-2025-03526;2025-12-27;DEVOLUCION;CLP;516212
NC-00271;3271;DOC-2025-03843;2025-12-27;DEVOLUCION;CLP;546946
NC-00182;3182;DOC-2025-03880;2025-12-28;DEVOLUCION;CLP;368539
NC-00293;3293;DOC-2025-04246;2025-12-28;DEVOLUCION;CLP;1306673
NC-00262;3262;DOC-2025-03202;2025-12-29;DEVOLUCION;CLP;1454379
NC-00265;3265;DOC-2025-03936;2025-12-29;DESCUENTO;CLP;354654
NC-00269;3269;DOC-2025-03561;2025-12-29;DEVOLUCION;CLP;386410
NC-00185;3185;DOC-2025-04209;2025-12-30;DESCUENTO;CLP;2484957
NC-00188;3188;DOC-2025-03355;2025-12-30;DEVOLUCION;CLP;1991776
NC-00049;3049;DOC-2025-03999;2025-12-31;ANULACION;CLP;8715556
NC-00050;3050;DOC-2025-04325;2025-12-31;ANULACION;CLP;40898397
NC-00051;3051;DOC-2025-02537;2025-12-31;ANULACION;CLP;5075479
NC-00183;3183;DOC-2025-02927;2025-12-31;DESCUENTO;CLP;923677
NC-00191;3191;DOC-2025-03518;2025-12-31;DEVOLUCION;CLP;2591058
NC-00192;3192;DOC-2025-03079;2025-12-31;DESCUENTO;CLP;853823
NC-00193;3193;DOC-2025-02741;2025-12-31;DESCUENTO;CLP;544355
NC-00194;3194;DOC-2025-04236;2025-12-31;DESCUENTO;CLP;1292528
NC-00246;3246;DOC-2025-02970;2025-12-31;AJUSTE_CALIDAD;CLP;1760739
NC-00247;3247;DOC-2025-03540;2025-12-31;AJUSTE_CALIDAD;CLP;2704005
NC-00248;3248;DOC-2025-03493;2025-12-31;AJUSTE_CALIDAD;CLP;464155
NC-00249;3249;DOC-2025-02581;2025-12-31;AJUSTE_CALIDAD;CLP;6465429
NC-00250;3250;DOC-2025-04197;2025-12-31;AJUSTE_CALIDAD;CLP;1521072
NC-00282;3282;DOC-2025-03971;2025-12-31;AJUSTE_CALIDAD;CLP;879964
