id_documento;tipo_documento;folio;id_cliente;id_vendedor;id_condicion;linea_negocio;fecha_emision;fecha_vencimiento;moneda;monto_neto;monto_iva;monto_total;estado_sii;centro_costo
DOC-2024-01955;FEE;8121;CL0288;V010;CP45;RETAIL;2024-01-02;2024-02-16;CLP;11464347;0;11464347;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00887;FAC;100473;CL0101;V008;CP45;FOODSERVICE;2024-01-03;2024-02-17;CLP;936003;177841;1113844;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00896;FAC;100481;CL0149;V008;CP45;FOODSERVICE;2024-01-03;2024-02-17;CLP;2325266;441801;2767067;ACEPTADO;PLANTA_CORONEL
DOC-2024-00908;FAC;100491;CL0074;V007;CP30;FOODSERVICE;2024-01-03;2024-02-02;CLP;11071290;2103545;13174835;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01640;FAC;101165;CL0102;V008;CP30;FOODSERVICE;2024-01-03;2024-02-02;CLP;11833614;2248387;14082001;ACEPTADO;PLANTA_CORONEL
DOC-2024-02005;FAC;101495;CL0286;V009;CP30;RETAIL;2024-01-03;2024-02-02;CLP;12563596;2387083;14950679;ACEPTADO;PLANTA_CORONEL
DOC-2024-00313;FEX;50313;CL0020;V004;CP60;EXPORTACION;2024-01-04;2024-03-04;USD;16491.82;0;16491.82;ACEPTADO;PLANTA_QUELLON
DOC-2024-00329;FEX;50329;CL0013;V003;CP60;EXPORTACION;2024-01-04;2024-03-04;USD;172180.02;0;172180.02;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01491;FAC;101023;CL0095;V007;CP00;FOODSERVICE;2024-01-04;2024-01-04;CLP;12589219;2391952;14981171;ACEPTADO;CD_SANTIAGO
DOC-2024-00119;FEX;50119;CL0032;V002;CP90;EXPORTACION;2024-01-05;2024-04-04;USD;164590.42;0;164590.42;RECLAMADO;PLANTA_QUELLON
DOC-2024-00266;FEX;50266;CL0072;V004;CP90;EXPORTACION;2024-01-05;2024-04-04;USD;25807.79;0;25807.79;ACEPTADO;PLANTA_QUELLON
DOC-2024-00467;FAC;100081;CL0214;V008;CP45;FOODSERVICE;2024-01-05;2024-04-04;CLP;3600750;684142;4284892;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00846;FAC;100438;CL0166;V008;CP45;FOODSERVICE;2024-01-05;2024-02-19;CLP;28186810;5355494;33542304;ACEPTADO;CD_SANTIAGO
DOC-2024-00856;FAC;100447;CL0217;V007;CP45;FOODSERVICE;2024-01-05;2024-02-19;CLP;5898884;1120788;7019672;ACEPTADO;PLANTA_CORONEL
DOC-2024-01376;FEE;8077;CL0193;V008;CP45;FOODSERVICE;2024-01-05;2024-02-19;CLP;2742764;0;2742764;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01471;FAC;101006;CL0101;V008;CP30;FOODSERVICE;2024-01-05;2024-02-04;CLP;1838219;349262;2187481;ACEPTADO;CD_SANTIAGO
DOC-2024-01502;FAC;101032;CL0090;V007;CP30;FOODSERVICE;2024-01-05;2024-02-04;CLP;14459665;2747336;17207001;ACEPTADO;PLANTA_CORONEL
DOC-2024-01594;FAC;101121;CL0212;V005;CP30;FOODSERVICE;2024-01-05;2024-02-04;CLP;8213227;1560513;9773740;ACEPTADO;PLANTA_CORONEL
DOC-2024-01660;FAC;101185;CL0155;V005;CP60;FOODSERVICE;2024-01-05;2024-03-05;CLP;6179010;1174012;7353022;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01976;FAC;101470;CL0311;V012;CP30;RETAIL;2024-01-05;2024-02-04;CLP;24334206;4623499;28957705;ACEPTADO;PLANTA_CORONEL
DOC-2024-01981;FAC;101474;CL0241;V011;CP60;RETAIL;2024-01-05;2024-03-05;CLP;10104023;1919764;12023787;ACEPTADO;CD_SANTIAGO
DOC-2024-00120;FEX;50120;CL0056;V002;CP90;EXPORTACION;2024-01-08;2024-04-07;USD;50595.73;0;50595.73;ACEPTADO;PLANTA_QUELLON
DOC-2024-01186;FAC;100740;CL0128;V005;CP60;FOODSERVICE;2024-01-08;2024-03-08;CLP;2327395;442205;2769600;ACEPTADO;CD_SANTIAGO
DOC-2024-01237;FAC;100789;CL0079;V008;CP60;FOODSERVICE;2024-01-08;2024-03-08;CLP;1357876;257996;1615872;ACEPTADO;PLANTA_CORONEL
DOC-2024-01448;FAC;100984;CL0196;V006;CP30;FOODSERVICE;2024-01-08;2024-02-07;CLP;4091463;777378;4868841;ACEPTADO;PLANTA_CORONEL
DOC-2024-01468;FAC;101003;CL0222;V005;CP60;FOODSERVICE;2024-01-08;2024-03-08;CLP;884695;168092;1052787;ACEPTADO;PLANTA_CORONEL
DOC-2024-01700;FAC;101220;CL0265;V009;CP60;RETAIL;2024-01-08;2024-03-08;CLP;26885504;5108246;31993750;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01878;FAC;101383;CL0321;V010;CP60;RETAIL;2024-01-08;2024-03-08;CLP;22047877;4189097;26236974;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00620;FAC;100225;CL0191;V006;CP45;FOODSERVICE;2024-01-09;2024-02-23;CLP;2433902;462441;2896343;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00944;FEE;8038;CL0167;V008;CP00;FOODSERVICE;2024-01-09;2024-01-09;CLP;2010745;0;2010745;ACEPTADO;PLANTA_CORONEL
DOC-2024-00981;FAC;100558;CL0197;V008;CP30;FOODSERVICE;2024-01-09;2024-02-08;CLP;803815;152725;956540;ACEPTADO;PLANTA_CORONEL
DOC-2024-01067;FEE;8047;CL0220;V007;CP60;FOODSERVICE;2024-01-09;2024-03-09;CLP;4118358;0;4118358;ANULADO;PLANTA_TALCAHUANO
DOC-2024-01183;FAC;100737;CL0197;V008;CP45;FOODSERVICE;2024-01-09;2024-02-23;CLP;5422834;1030338;6453172;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01269;FAC;100818;CL0177;V005;CP45;FOODSERVICE;2024-01-09;2024-02-23;CLP;1877046;356639;2233685;ACEPTADO;CD_SANTIAGO
DOC-2024-01318;FAC;100864;CL0097;V007;CP00;FOODSERVICE;2024-01-09;2024-01-09;CLP;4290520;815199;5105719;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01772;FAC;101284;CL0239;V011;CP45;RETAIL;2024-01-09;2024-02-23;CLP;4980528;946300;5926828;ACEPTADO;CD_SANTIAGO
DOC-2024-00154;FEX;50154;CL0032;V002;CP90;EXPORTACION;2024-01-10;2024-04-09;USD;56255.98;0;56255.98;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00315;FEX;50315;CL0049;V003;CP90;EXPORTACION;2024-01-10;2024-04-09;USD;23214.54;0;23214.54;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00383;FEX;50383;CL0032;V002;CP90;EXPORTACION;2024-01-10;2024-04-09;USD;73979.44;0;73979.44;ACEPTADO;PLANTA_CORONEL
DOC-2024-00613;FAC;100218;CL0158;V007;CP45;FOODSERVICE;2024-01-10;2024-02-24;CLP;3840961;729783;4570744;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00636;FAC;100240;CL0138;V005;CP60;FOODSERVICE;2024-01-10;2024-03-10;CLP;8419537;1599712;10019249;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01087;FAC;100653;CL0074;V007;CP30;FOODSERVICE;2024-01-10;2024-02-09;CLP;12602269;2394431;14996700;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01168;FAC;100722;CL0216;V005;CP30;FOODSERVICE;2024-01-10;2024-02-09;CLP;5897964;1120613;7018577;ACEPTADO;CD_SANTIAGO
DOC-2024-01331;FAC;100876;CL0197;V008;CP30;FOODSERVICE;2024-01-10;2024-02-09;CLP;5338336;1014284;6352620;ACEPTADO;PLANTA_CORONEL
DOC-2024-01573;FAC;101100;CL0081;V005;CP30;FOODSERVICE;2024-01-10;2024-02-09;CLP;5058174;961053;6019227;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01793;FAC;101302;CL0333;V012;CP60;RETAIL;2024-01-10;2024-03-10;CLP;9510090;1806917;11317007;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01960;FEE;8122;CL0323;V011;CP30;RETAIL;2024-01-10;2024-02-09;CLP;4909883;0;4909883;ACEPTADO;PLANTA_CORONEL
DOC-2024-01435;FAC;100973;CL0178;V008;CP30;FOODSERVICE;2024-01-11;2024-02-10;CLP;24215972;4601035;28817007;ACEPTADO;CD_SANTIAGO
DOC-2024-01610;FAC;101136;CL0208;V007;CP30;FOODSERVICE;2024-01-11;2024-02-10;CLP;4554954;865441;5420395;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00093;FEX;50093;CL0042;V002;CP90;EXPORTACION;2024-01-12;2024-04-11;USD;74860.31;0;74860.31;ANULADO;PLANTA_QUELLON
DOC-2024-00196;FEX;50196;CL0012;V004;CP90;EXPORTACION;2024-01-12;2024-04-11;CLP;40666712;0;40666712;ACEPTADO;PLANTA_QUELLON
DOC-2024-00275;FEX;50275;CL0060;V003;CP60;EXPORTACION;2024-01-12;2024-03-12;USD;15937.29;0;15937.29;ACEPTADO;PLANTA_QUELLON
DOC-2024-00358;FEX;50358;CL0032;V002;CP90;EXPORTACION;2024-01-12;2024-04-11;USD;59061.55;0;59061.55;ACEPTADO;PLANTA_QUELLON
DOC-2024-00442;FAC;100057;CL0144;V006;CP60;FOODSERVICE;2024-01-12;2024-03-12;CLP;3363099;638989;4002088;ACEPTADO;CD_SANTIAGO
DOC-2024-00513;FAC;100124;CL0190;V006;CP30;FOODSERVICE;2024-01-12;2024-02-11;CLP;4379520;832109;5211629;ACEPTADO;CD_SANTIAGO
DOC-2024-00573;FAC;100180;CL0162;V007;CP30;FOODSERVICE;2024-01-12;2024-02-11;CLP;2206825;419297;2626122;ACEPTADO;PLANTA_CORONEL
DOC-2024-00610;FAC;100215;CL0186;V007;CP30;FOODSERVICE;2024-01-12;2024-02-11;CLP;3674858;698223;4373081;ACEPTADO;CD_SANTIAGO
DOC-2024-00651;FAC;100252;CL0116;V006;CP45;FOODSERVICE;2024-01-12;2024-02-26;CLP;4817662;915356;5733018;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00854;FEE;8026;CL0080;V007;CP45;FOODSERVICE;2024-01-12;2024-02-26;CLP;14357114;0;14357114;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01310;FAC;100856;CL0088;V005;CP45;FOODSERVICE;2024-01-12;2024-02-26;CLP;2209364;419779;2629143;ACEPTADO;PLANTA_CORONEL
DOC-2024-01411;FAC;100950;CL0112;V008;CP00;FOODSERVICE;2024-01-12;2024-01-12;CLP;8907186;1692365;10599551;ACEPTADO;CD_SANTIAGO
DOC-2024-01421;FAC;100959;CL0102;V008;CP30;FOODSERVICE;2024-01-12;2024-02-11;CLP;10372113;1970701;12342814;ACEPTADO;PLANTA_CORONEL
DOC-2024-01503;FAC;101033;CL0184;V005;CP60;FOODSERVICE;2024-01-12;2024-03-12;CLP;9875640;1876372;11752012;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01617;FAC;101143;CL0074;V007;CP30;FOODSERVICE;2024-01-12;2024-02-11;CLP;12611311;2396149;15007460;ACEPTADO;PLANTA_CORONEL
DOC-2024-01729;FAC;101245;CL0279;V010;CP60;RETAIL;2024-01-12;2024-03-12;CLP;24209255;4599758;28809013;ACEPTADO;CD_SANTIAGO
DOC-2024-01195;FAC;100749;CL0139;V008;CP30;FOODSERVICE;2024-01-15;2024-04-14;CLP;7235976;1374835;8610811;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01745;FAC;101260;CL0342;V011;CP60;RETAIL;2024-01-15;2024-03-15;CLP;1545481;293641;1839122;ACEPTADO;CD_SANTIAGO
DOC-2024-00112;FEX;50112;CL0034;V004;CP90;EXPORTACION;2024-01-16;2024-04-15;USD;79245.1;0;79245.1;ACEPTADO;PLANTA_QUELLON
DOC-2024-00225;FEX;50225;CL0042;V002;CP120;EXPORTACION;2024-01-16;2024-05-15;USD;55729.34;0;55729.34;ACEPTADO;PLANTA_CORONEL
DOC-2024-00420;FAC;100036;CL0175;V008;CP30;FOODSERVICE;2024-01-16;2024-02-15;CLP;7365243;1399396;8764639;ACEPTADO;CD_SANTIAGO
DOC-2024-00670;FAC;100271;CL0099;V008;CP45;FOODSERVICE;2024-01-16;2024-03-01;CLP;9361839;1778749;11140588;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00919;FAC;100501;CL0173;V006;CP30;FOODSERVICE;2024-01-16;2024-02-15;CLP;5191297;986346;6177643;ACEPTADO;CD_SANTIAGO
DOC-2024-00957;FAC;100536;CL0148;V006;CP30;FOODSERVICE;2024-01-16;2024-02-15;CLP;2161978;410776;2572754;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01286;FAC;100834;CL0193;V008;CP30;FOODSERVICE;2024-01-16;2024-02-15;CLP;17068633;3243040;20311673;ACEPTADO;CD_SANTIAGO
DOC-2024-01765;FEE;8104;CL0331;V011;CP45;RETAIL;2024-01-16;2024-03-01;CLP;4166164;0;4166164;ACEPTADO;PLANTA_CORONEL
DOC-2024-01766;FAC;101279;CL0325;V011;CP30;RETAIL;2024-01-16;2024-02-15;CLP;8208102;1559539;9767641;ACEPTADO;CD_SANTIAGO
DOC-2024-00098;FEX;50098;CL0014;V003;CP60;EXPORTACION;2024-01-17;2024-03-17;USD;46814.07;0;46814.07;ACEPTADO;PLANTA_CALDERA
DOC-2024-00592;FAC;100198;CL0193;V008;CP45;FOODSERVICE;2024-01-17;2024-03-02;CLP;16587372;3151601;19738973;ACEPTADO;CD_SANTIAGO
DOC-2024-00739;FAC;100337;CL0167;V008;CP30;FOODSERVICE;2024-01-17;2024-02-16;CLP;1361718;258726;1620444;ACEPTADO;CD_SANTIAGO
DOC-2024-01327;FAC;100872;CL0100;V008;CP45;FOODSERVICE;2024-01-17;2024-03-02;CLP;3109291;590765;3700056;ACEPTADO;PLANTA_CORONEL
DOC-2024-01977;FAC;101471;CL0307;V010;CP45;RETAIL;2024-01-17;2024-03-02;CLP;9264645;1760283;11024928;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00163;FEX;50163;CL0058;V004;CP60;EXPORTACION;2024-01-18;2024-03-18;USD;9163.58;0;9163.58;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00466;FAC;100080;CL0098;V005;CP45;FOODSERVICE;2024-01-18;2024-03-03;CLP;3862252;733828;4596080;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00819;FAC;100413;CL0214;V008;CP45;FOODSERVICE;2024-01-18;2024-03-03;CLP;26218859;4981583;31200442;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00822;FAC;100416;CL0174;V008;CP30;FOODSERVICE;2024-01-18;2024-01-30;CLP;1918330;364483;2282813;ACEPTADO;CD_SANTIAGO
DOC-2024-00952;FAC;100531;CL0135;V005;CP30;FOODSERVICE;2024-01-18;2024-02-17;CLP;6012920;1142455;7155375;ACEPTADO;CD_SANTIAGO
DOC-2024-01488;FAC;101020;CL0192;V006;CP60;FOODSERVICE;2024-01-18;2024-03-18;CLP;7809456;1483797;9293253;ACEPTADO;PLANTA_CORONEL
DOC-2024-00026;FEX;50026;CL0015;V002;CP120;EXPORTACION;2024-01-19;2024-05-18;USD;9654.61;0;9654.61;ACEPTADO;PLANTA_CORONEL
DOC-2024-00195;FEX;50195;CL0032;V002;CP60;EXPORTACION;2024-01-19;2024-03-19;USD;129068.52;0;129068.52;ACEPTADO;PLANTA_QUELLON
DOC-2024-00425;FAC;100041;CL0074;V007;CP60;FOODSERVICE;2024-01-19;2024-03-19;CLP;24601265;4674240;29275505;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00426;FAC;100042;CL0207;V008;CP45;FOODSERVICE;2024-01-19;2024-03-04;CLP;7757300;1473887;9231187;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00640;FAC;100244;CL0178;V008;CP00;FOODSERVICE;2024-01-19;2024-01-19;CLP;11891139;2259316;14150455;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00724;FAC;100322;CL0197;V008;CP30;FOODSERVICE;2024-01-19;2024-02-18;CLP;7382558;1402686;8785244;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00818;FAC;100412;CL0106;V008;CP30;FOODSERVICE;2024-01-19;2024-02-18;CLP;11763569;2235078;13998647;ACEPTADO;PLANTA_CORONEL
DOC-2024-00987;FEE;8041;CL0126;V005;CP00;FOODSERVICE;2024-01-19;2024-01-19;CLP;3362406;0;3362406;ACEPTADO;PLANTA_CORONEL
DOC-2024-01019;FAC;100594;CL0176;V008;CP00;FOODSERVICE;2024-01-19;2024-01-19;CLP;6757362;1283899;8041261;ACEPTADO;CD_SANTIAGO
DOC-2024-01110;FAC;100672;CL0217;V007;CP30;FOODSERVICE;2024-01-19;2024-02-18;CLP;3436755;652983;4089738;ACEPTADO;PLANTA_CORONEL
DOC-2024-01264;FAC;100813;CL0136;V008;CP30;FOODSERVICE;2024-01-19;2024-02-18;CLP;24140803;4586753;28727556;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01417;FAC;100955;CL0212;V005;CP30;FOODSERVICE;2024-01-19;2024-02-18;CLP;5664352;1076227;6740579;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01445;FAC;100981;CL0122;V007;CP45;FOODSERVICE;2024-01-19;2024-03-04;CLP;4256409;808718;5065127;ACEPTADO;PLANTA_CORONEL
DOC-2024-01541;FAC;101069;CL0121;V007;CP30;FOODSERVICE;2024-01-19;2024-02-18;CLP;2509956;476892;2986848;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01554;FAC;101081;CL0217;V007;CP60;FOODSERVICE;2024-01-19;2024-03-19;CLP;13914481;2643751;16558232;ACEPTADO;CD_SANTIAGO
DOC-2024-01583;FAC;101110;CL0219;V007;CP45;FOODSERVICE;2024-01-19;2024-03-04;CLP;4168934;792097;4961031;ACEPTADO;CD_SANTIAGO
DOC-2024-01724;FAC;101240;CL0238;V012;CP60;RETAIL;2024-01-19;2024-03-19;CLP;10332403;1963157;12295560;ACEPTADO;CD_SANTIAGO
DOC-2024-00197;FEX;50197;CL0048;V001;CP120;EXPORTACION;2024-01-22;2024-05-21;USD;75956.53;0;75956.53;ACEPTADO;PLANTA_CALDERA
DOC-2024-00246;FEX;50246;CL0072;V004;CP60;EXPORTACION;2024-01-22;2024-03-22;USD;39926.09;0;39926.09;ACEPTADO;PLANTA_QUELLON
DOC-2024-00361;FEX;50361;CL0012;V004;CP90;EXPORTACION;2024-01-22;2024-04-21;USD;96480.3;0;96480.3;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00638;FAC;100242;CL0118;V007;CP30;FOODSERVICE;2024-01-22;2024-02-21;CLP;16082995;3055769;19138764;ACEPTADO;PLANTA_CORONEL
DOC-2024-00976;FAC;100553;CL0161;V005;CP30;FOODSERVICE;2024-01-22;2024-02-21;CLP;6521195;1239027;7760222;ACEPTADO;CD_SANTIAGO
DOC-2024-01212;FAC;100766;CL0077;V007;CP60;FOODSERVICE;2024-01-22;2024-03-22;CLP;16750754;3182643;19933397;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01389;FAC;100928;CL0178;V008;CP45;FOODSERVICE;2024-01-22;2024-03-07;CLP;44737489;8500123;53237612;ACEPTADO;CD_SANTIAGO
DOC-2024-00018;FEX;50018;CL0012;V004;CP90;EXPORTACION;2024-01-23;2024-04-22;USD;197572.78;0;197572.78;ACEPTADO;PLANTA_CORONEL
DOC-2024-00326;FEX;50326;CL0012;V004;CP60;EXPORTACION;2024-01-23;2024-03-23;USD;45986.9;0;45986.9;ACEPTADO;PLANTA_CORONEL
DOC-2024-00330;FEX;50330;CL0056;V002;CP120;EXPORTACION;2024-01-23;2024-05-22;USD;76208.26;0;76208.26;ACEPTADO;PLANTA_CORONEL
DOC-2024-00951;FAC;100530;CL0088;V005;CP30;FOODSERVICE;2024-01-23;2024-02-22;CLP;1560908;296573;1857481;ACEPTADO;CD_SANTIAGO
DOC-2024-00989;FAC;100565;CL0155;V005;CP45;FOODSERVICE;2024-01-23;2024-03-08;CLP;6739505;1280506;8020011;ACEPTADO;CD_SANTIAGO
DOC-2024-01330;FAC;100875;CL0207;V008;CP45;FOODSERVICE;2024-01-23;2024-03-08;CLP;16098791;3058770;19157561;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01403;FAC;100942;CL0147;V005;CP30;FOODSERVICE;2024-01-23;2024-02-22;CLP;2524628;479679;3004307;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01747;FAC;101262;CL0279;V010;CP45;RETAIL;2024-01-23;2024-03-08;CLP;88482994;16811769;105294763;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00305;FEX;50305;CL0032;V002;CP120;EXPORTACION;2024-01-24;2024-05-23;USD;265988.9;0;265988.9;ACEPTADO;PLANTA_QUELLON
DOC-2024-00517;FAC;100127;CL0131;V006;CP45;FOODSERVICE;2024-01-24;2024-03-09;CLP;3619590;687722;4307312;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00639;FAC;100243;CL0134;V007;CP60;FOODSERVICE;2024-01-24;2024-03-24;CLP;3443009;654172;4097181;ACEPTADO;PLANTA_CORONEL
DOC-2024-00853;FAC;100445;CL0075;V007;CP30;FOODSERVICE;2024-01-24;2024-02-23;CLP;6608177;1255554;7863731;ACEPTADO;CD_SANTIAGO
DOC-2024-01189;FAC;100743;CL0094;V007;CP45;FOODSERVICE;2024-01-24;2024-03-09;CLP;3051758;579834;3631592;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01227;FAC;100779;CL0147;V005;CP30;FOODSERVICE;2024-01-24;2024-03-09;CLP;7626764;1449085;9075849;ACEPTADO;CD_SANTIAGO
DOC-2024-01676;FAC;101200;CL0245;V011;CP90;RETAIL;2024-01-24;2024-04-23;CLP;7999837;1519969;9519806;ACEPTADO;PLANTA_CORONEL
DOC-2024-01869;FEE;8112;CL0238;V012;CP60;RETAIL;2024-01-24;2024-03-24;CLP;11667082;0;11667082;ACEPTADO;PLANTA_CORONEL
DOC-2024-01958;FAC;101454;CL0279;V010;CP30;RETAIL;2024-01-24;2024-02-23;CLP;37632382;7150153;44782535;ACEPTADO;CD_SANTIAGO
DOC-2024-00599;FAC;100204;CL0205;V007;CP30;FOODSERVICE;2024-01-25;2024-02-24;CLP;5371096;1020508;6391604;ACEPTADO;PLANTA_CORONEL
DOC-2024-01685;FAC;101207;CL0301;V009;CP30;RETAIL;2024-01-25;2024-02-24;CLP;5087966;966714;6054680;ACEPTADO;PLANTA_CORONEL
DOC-2024-02000;FAC;101490;CL0279;V010;CP30;RETAIL;2024-01-25;2024-02-24;CLP;77050157;14639530;91689687;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00014;FEX;50014;CL0004;V001;CP60;EXPORTACION;2024-01-26;2024-03-26;USD;60723.3;0;60723.3;ACEPTADO;PLANTA_CALDERA
DOC-2024-00344;FEX;50344;CL0032;V002;CP90;EXPORTACION;2024-01-26;2024-04-25;USD;168618.89;0;168618.89;ACEPTADO;PLANTA_QUELLON
DOC-2024-00520;FAC;100129;CL0143;V006;CP45;FOODSERVICE;2024-01-26;2024-03-11;CLP;2051727;389828;2441555;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00864;FAC;100453;CL0206;V006;CP30;FOODSERVICE;2024-01-26;2024-03-26;CLP;3550472;674590;4225062;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01637;FAC;101162;CL0129;V007;CP60;FOODSERVICE;2024-01-26;2024-03-26;CLP;5243233;996214;6239447;ACEPTADO;PLANTA_CORONEL
DOC-2024-01822;FEE;8109;CL0266;V012;CP60;RETAIL;2024-01-26;2024-03-26;CLP;3752947;0;3752947;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-01970;FAC;101464;CL0307;V010;CP45;RETAIL;2024-01-26;2024-03-11;CLP;8362086;1588796;9950882;ACEPTADO;PLANTA_TALCAHUANO
DOC-2024-00304;FEX;50304;CL0012;V004;CP60;EXPORTACION;2024-01-29;2024-03-29;CLP;44143262;0;44143262;ACEPTADO;PLANTA_QUELLON
