id_cobranza;id_documento;fecha_pago;moneda;monto_pagado;medio_pago;id_operacion_factoring
COB-000102;DOC-2024-01745;2024-03-25;CLP;1193745;TRANSFERENCIA;
COB-000110;DOC-2024-00670;2024-03-25;CLP;4170782;TRANSFERENCIA;
COB-000171;DOC-2024-01403;2024-03-25;CLP;1141522;TRANSFERENCIA;
COB-000180;DOC-2024-01869;2024-03-25;CLP;11667082;TRANSFERENCIA;
COB-000188;DOC-2024-00864;2024-03-25;CLP;1773007;TRANSFERENCIA;
COB-000193;DOC-2024-00304;2024-03-25;CLP;44143262;TRANSFERENCIA;
COB-000207;DOC-2024-00245;2024-03-25;USD;9659.55;CHEQUE;
COB-000225;DOC-2024-00923;2024-03-25;CLP;11798836;TRANSFERENCIA;
COB-000286;DOC-2024-01801;2024-03-25;CLP;6098444;TRANSFERENCIA;
COB-000301;DOC-2024-01463;2024-03-25;CLP;4406383;TRANSFERENCIA;
COB-000319;DOC-2024-01866;2024-03-25;CLP;8268014;COMPENSACION;
COB-000370;DOC-2024-01078;2024-03-25;CLP;7930525;TRANSFERENCIA;
COB-000402;DOC-2024-01073;2024-03-25;CLP;1484505;TRANSFERENCIA;
COB-000412;DOC-2024-01979;2024-03-25;CLP;94538071;TRANSFERENCIA;
COB-000521;DOC-2024-00317;2024-03-25;USD;137312.83;FACTORING;FCT-2024-0003
COB-000205;DOC-2024-00057;2024-03-26;USD;75642.45;COMPENSACION;
COB-000209;DOC-2024-00519;2024-03-26;CLP;3245526;TRANSFERENCIA;
COB-000583;DOC-2024-00558;2024-03-26;CLP;7566966;CHEQUE;
COB-000308;DOC-2024-00504;2024-03-27;CLP;10202817;TRANSFERENCIA;
COB-000312;DOC-2024-01204;2024-03-27;CLP;9219648;TRANSFERENCIA;
COB-000415;DOC-2024-00716;2024-03-27;CLP;3692017;TRANSFERENCIA;
COB-000267;DOC-2024-00657;2024-03-28;CLP;1974156;TRANSFERENCIA;
COB-000028;DOC-2024-00908;2024-04-01;CLP;13174835;TRANSFERENCIA;
COB-000047;DOC-2024-01981;2024-04-01;CLP;7301269;CHEQUE;
COB-000048;DOC-2024-00120;2024-04-01;USD;50595.73;COMPENSACION;
COB-000072;DOC-2024-00636;2024-04-01;CLP;10019249;TRANSFERENCIA;
COB-000078;DOC-2024-01435;2024-04-01;CLP;16932840;CHEQUE;
COB-000123;DOC-2024-01977;2024-04-01;CLP;4613379;TRANSFERENCIA;
COB-000137;DOC-2024-00640;2024-04-01;CLP;14150455;TRANSFERENCIA;
COB-000146;DOC-2024-01264;2024-04-01;CLP;14427424;TRANSFERENCIA;
COB-000172;DOC-2024-01747;2024-04-01;CLP;105294763;TRANSFERENCIA;
COB-000181;DOC-2024-01958;2024-04-01;CLP;41814139;TRANSFERENCIA;
COB-000200;DOC-2024-00191;2024-04-01;USD;17846.06;TRANSFERENCIA;
COB-000265;DOC-2024-00423;2024-04-01;CLP;2562294;TRANSFERENCIA;
COB-000366;DOC-2024-01716;2024-04-01;CLP;5612238;TRANSFERENCIA;
COB-000368;DOC-2024-00434;2024-04-01;CLP;25825172;TRANSFERENCIA;
COB-000369;DOC-2024-00972;2024-04-01;CLP;6050763;TRANSFERENCIA;
COB-000386;DOC-2024-00696;2024-04-01;CLP;2666546;CHEQUE;
COB-000454;DOC-2024-01551;2024-04-01;CLP;6592331;CHEQUE;
COB-000495;DOC-2024-00213;2024-04-01;USD;78642.15;FACTORING;FCT-2024-0002
COB-000073;DOC-2024-01087;2024-04-02;CLP;14996700;CHEQUE;
COB-000232;DOC-2024-01905;2024-04-02;CLP;3878362;COMPENSACION;
COB-000044;DOC-2024-01660;2024-04-03;CLP;3415532;TRANSFERENCIA;
COB-000099;DOC-2024-01617;2024-04-03;CLP;15007460;CHEQUE;
COB-000189;DOC-2024-00864;2024-04-03;CLP;2452055;TRANSFERENCIA;
COB-000283;DOC-2024-01125;2024-04-03;CLP;18073049;TRANSFERENCIA;
COB-000322;DOC-2024-01142;2024-04-03;CLP;10368771;CHEQUE;
COB-000467;DOC-2024-01480;2024-04-03;CLP;7110077;TRANSFERENCIA;
COB-000036;DOC-2024-00467;2024-04-04;CLP;4284892;TRANSFERENCIA;
COB-000192;DOC-2024-01970;2024-04-04;CLP;9950882;TRANSFERENCIA;
COB-000325;DOC-2024-01664;2024-04-04;CLP;4433137;TRANSFERENCIA;
COB-000343;DOC-2024-01856;2024-04-04;CLP;33171783;TRANSFERENCIA;
COB-000379;DOC-2024-01964;2024-04-04;CLP;23348430;CHEQUE;
COB-000081;DOC-2024-00196;2024-04-05;CLP;40666712;TRANSFERENCIA;
COB-000272;DOC-2024-00945;2024-04-05;CLP;22410527;TRANSFERENCIA;
COB-000304;DOC-2024-02019;2024-04-05;CLP;11332341;TRANSFERENCIA;
COB-000307;DOC-2024-00454;2024-04-05;CLP;2185048;TRANSFERENCIA;
COB-000423;DOC-2024-00947;2024-04-05;CLP;2611309;TRANSFERENCIA;
COB-000039;DOC-2024-01376;2024-04-08;CLP;2742764;TRANSFERENCIA;
COB-000101;DOC-2024-01195;2024-04-08;CLP;8610811;TRANSFERENCIA;
COB-000155;DOC-2024-00246;2024-04-08;USD;39926.09;TRANSFERENCIA;
COB-000196;DOC-2024-01359;2024-04-08;CLP;6804848;TRANSFERENCIA;
COB-000221;DOC-2024-00536;2024-04-08;CLP;3044939;TRANSFERENCIA;
COB-000340;DOC-2024-02007;2024-04-08;CLP;14054906;TRANSFERENCIA;
COB-000401;DOC-2024-01043;2024-04-08;CLP;10241228;TRANSFERENCIA;
COB-000405;DOC-2024-01290;2024-04-08;CLP;6125258;TRANSFERENCIA;
COB-000556;DOC-2024-00126;2024-04-08;CLP;84926465;FACTORING;FCT-2024-0004
COB-000012;DOC-2024-00885;2024-04-09;CLP;8356088;TRANSFERENCIA;
COB-000074;DOC-2024-01168;2024-04-09;CLP;7018577;CHEQUE;
COB-000153;DOC-2024-01724;2024-04-09;CLP;6820588;TRANSFERENCIA;
COB-000211;DOC-2024-00836;2024-04-09;CLP;2647703;TRANSFERENCIA;
COB-000278;DOC-2024-01477;2024-04-09;CLP;703197;TRANSFERENCIA;
COB-000295;DOC-2024-01722;2024-04-09;CLP;14327282;CHEQUE;
COB-000356;DOC-2024-01834;2024-04-09;CLP;29976720;TRANSFERENCIA;
COB-000392;DOC-2024-01860;2024-04-09;CLP;5571428;TRANSFERENCIA;
COB-000404;DOC-2024-01274;2024-04-09;CLP;4271275;TRANSFERENCIA;
COB-000082;DOC-2024-00275;2024-04-10;USD;7537.5;TRANSFERENCIA;
COB-000214;DOC-2024-01613;2024-04-10;CLP;5131356;TRANSFERENCIA;
COB-000257;DOC-2024-01846;2024-04-10;CLP;9057961;TRANSFERENCIA;
COB-000302;DOC-2024-01463;2024-04-10;CLP;7376826;TRANSFERENCIA;
COB-000326;DOC-2024-00399;2024-04-10;CLP;10280346;TRANSFERENCIA;
COB-000486;DOC-2024-01343;2024-04-10;CLP;7617999;CHEQUE;
COB-000247;DOC-2024-00886;2024-04-11;CLP;1362545;TRANSFERENCIA;
COB-000275;DOC-2024-01035;2024-04-11;CLP;2691284;TRANSFERENCIA;
COB-000609;DOC-2024-00187;2024-04-11;USD;100802.96;FACTORING;FCT-2024-0005
COB-000373;DOC-2024-01653;2024-04-12;CLP;12033501;TRANSFERENCIA;
COB-000387;DOC-2024-00696;2024-04-12;CLP;1963461;TRANSFERENCIA;
COB-000444;DOC-2024-01241;2024-04-12;CLP;9194309;TRANSFERENCIA;
COB-000600;DOC-2024-00883;2024-04-12;CLP;6099620;TRANSFERENCIA;
COB-000051;DOC-2024-01237;2024-04-15;CLP;880861;TRANSFERENCIA;
COB-000056;DOC-2024-01878;2024-04-15;CLP;10476761;CHEQUE;
COB-000067;DOC-2024-00154;2024-04-15;USD;32081.62;TRANSFERENCIA;
COB-000069;DOC-2024-00315;2024-04-15;USD;23214.54;TRANSFERENCIA;
COB-000070;DOC-2024-00383;2024-04-15;USD;73979.44;TRANSFERENCIA;
COB-000079;DOC-2024-01435;2024-04-15;CLP;11884167;TRANSFERENCIA;
COB-000133;DOC-2024-00195;2024-04-15;USD;129068.52;TRANSFERENCIA;
COB-000156;DOC-2024-00361;2024-04-15;USD;96480.3;TRANSFERENCIA;
COB-000264;DOC-2024-00400;2024-04-15;CLP;9057245;TRANSFERENCIA;
COB-000333;DOC-2024-00529;2024-04-15;CLP;4201760;TRANSFERENCIA;
COB-000337;DOC-2024-00897;2024-04-15;CLP;4769408;TRANSFERENCIA;
COB-000390;DOC-2024-01439;2024-04-15;CLP;6872055;TRANSFERENCIA;
COB-000424;DOC-2024-01051;2024-04-15;CLP;5955274;CHEQUE;
COB-000432;DOC-2024-01351;2024-04-15;CLP;6019165;TRANSFERENCIA;
COB-000445;DOC-2024-01322;2024-04-15;CLP;1046479;TRANSFERENCIA;
COB-000463;DOC-2024-01133;2024-04-15;CLP;6681154;TRANSFERENCIA;
COB-000531;DOC-2024-01627;2024-04-15;CLP;6478011;TRANSFERENCIA;
COB-000577;DOC-2024-01194;2024-04-15;CLP;5871568;TRANSFERENCIA;
COB-000684;DOC-2024-00365;2024-04-15;USD;126918.68;FACTORING;FCT-2024-0006
COB-000290;DOC-2024-00290;2024-04-16;CLP;28510200;TRANSFERENCIA;
COB-000339;DOC-2024-01741;2024-04-16;CLP;6581033;CHEQUE;
COB-000539;DOC-2024-00785;2024-04-16;CLP;2707902;TRANSFERENCIA;
COB-000126;DOC-2024-00466;2024-04-17;CLP;2025246;TRANSFERENCIA;
COB-000216;DOC-2024-00371;2024-04-17;USD;14019.6;CHEQUE;
COB-000259;DOC-2024-01177;2024-04-17;CLP;5161480;TRANSFERENCIA;
COB-000297;DOC-2024-00778;2024-04-17;CLP;1282842;TRANSFERENCIA;
COB-000437;DOC-2024-00395;2024-04-17;CLP;4912808;TRANSFERENCIA;
COB-000512;DOC-2024-01572;2024-04-17;CLP;1152836;CHEQUE;
COB-000103;DOC-2024-01745;2024-04-18;CLP;645377;TRANSFERENCIA;
COB-000239;DOC-2024-00750;2024-04-18;CLP;922146;TRANSFERENCIA;
COB-000253;DOC-2024-01415;2024-04-18;CLP;10403984;TRANSFERENCIA;
COB-000262;DOC-2024-00010;2024-04-18;USD;58525.61;TRANSFERENCIA;
COB-000367;DOC-2024-01716;2024-04-18;CLP;3178820;TRANSFERENCIA;
COB-000403;DOC-2024-01073;2024-04-18;CLP;2454419;CHEQUE;
COB-000416;DOC-2024-00716;2024-04-18;CLP;4109016;TRANSFERENCIA;
COB-000604;DOC-2024-01407;2024-04-18;CLP;2273750;TRANSFERENCIA;
COB-000271;DOC-2024-00803;2024-04-19;CLP;7182378;CHEQUE;
COB-000344;DOC-2024-02016;2024-04-19;CLP;16870421;TRANSFERENCIA;
COB-000354;DOC-2024-01542;2024-04-19;CLP;11390628;TRANSFERENCIA;
COB-000104;DOC-2024-00112;2024-04-22;USD;13212.17;CHEQUE;
COB-000203;DOC-2024-01370;2024-04-22;CLP;7321323;TRANSFERENCIA;
COB-000210;DOC-2024-00519;2024-04-22;CLP;2714053;TRANSFERENCIA;
COB-000281;DOC-2024-01962;2024-04-22;CLP;7340665;TRANSFERENCIA;
COB-000300;DOC-2024-01239;2024-04-22;CLP;4590767;CHEQUE;
COB-000321;DOC-2024-00451;2024-04-22;CLP;3776530;TRANSFERENCIA;
COB-000374;DOC-2024-01773;2024-04-22;CLP;2824193;CHEQUE;
COB-000469;DOC-2024-01609;2024-04-22;CLP;751174;TRANSFERENCIA;
COB-000555;DOC-2024-01901;2024-04-22;CLP;6048773;CHEQUE;
COB-000557;DOC-2024-00433;2024-04-22;CLP;701874;TRANSFERENCIA;
COB-000579;DOC-2024-01558;2024-04-22;CLP;4591654;TRANSFERENCIA;
COB-000589;DOC-2024-00571;2024-04-22;CLP;38105351;TRANSFERENCIA;
COB-000740;DOC-2024-00771;2024-04-22;CLP;2278169;TRANSFERENCIA;
COB-000066;DOC-2024-01772;2024-04-23;CLP;5926828;TRANSFERENCIA;
COB-000179;DOC-2024-01676;2024-04-23;CLP;9519806;TRANSFERENCIA;
COB-000198;DOC-2024-00185;2024-04-23;USD;4794.57;TRANSFERENCIA;
COB-000315;DOC-2024-01342;2024-04-23;CLP;2555287;TRANSFERENCIA;
COB-000323;DOC-2024-01650;2024-04-23;CLP;998914;TRANSFERENCIA;
COB-000355;DOC-2024-01814;2024-04-23;CLP;4522564;TRANSFERENCIA;
COB-000364;DOC-2024-00847;2024-04-23;CLP;9481897;TRANSFERENCIA;
COB-000456;DOC-2024-01599;2024-04-23;CLP;11314577;TRANSFERENCIA;
COB-000087;DOC-2024-00442;2024-04-24;CLP;1885901;TRANSFERENCIA;
COB-000410;DOC-2024-01890;2024-04-24;CLP;10215155;TRANSFERENCIA;
COB-000464;DOC-2024-01231;2024-04-24;CLP;3721369;TRANSFERENCIA;
COB-000587;DOC-2024-01588;2024-04-24;CLP;10891438;TRANSFERENCIA;
COB-004307;DOC-2025-95930;2024-04-24;CLP;7562309;COMPENSACION;
COB-000376;DOC-2024-01811;2024-04-25;CLP;15194249;TRANSFERENCIA;
COB-000429;DOC-2024-00848;2024-04-25;CLP;9959667;TRANSFERENCIA;
COB-000451;DOC-2024-01490;2024-04-25;CLP;4163554;TRANSFERENCIA;
COB-000459;DOC-2024-01917;2024-04-25;CLP;12935185;CHEQUE;
COB-000506;DOC-2024-01083;2024-04-25;CLP;10151294;TRANSFERENCIA;
COB-000708;DOC-2024-00276;2024-04-25;CLP;13498875;FACTORING;FCT-2024-0008
COB-000263;DOC-2024-00136;2024-04-26;CLP;8026560;TRANSFERENCIA;
COB-000378;DOC-2024-01893;2024-04-26;CLP;61923567;TRANSFERENCIA;
COB-000407;DOC-2024-01377;2024-04-26;CLP;2288090;TRANSFERENCIA;
COB-000083;DOC-2024-00275;2024-04-29;USD;8399.79;CHEQUE;
COB-000100;DOC-2024-01729;2024-04-29;CLP;28809013;TRANSFERENCIA;
COB-000186;DOC-2024-00344;2024-04-29;USD;168618.89;TRANSFERENCIA;
COB-000215;DOC-2024-01732;2024-04-29;CLP;2870443;TRANSFERENCIA;
COB-000303;DOC-2024-01910;2024-04-29;CLP;8482751;COMPENSACION;
COB-000328;DOC-2024-01487;2024-04-29;CLP;9167042;TRANSFERENCIA;
COB-000331;DOC-2024-00047;2024-04-29;USD;38315.54;TRANSFERENCIA;
COB-000371;DOC-2024-01078;2024-04-29;CLP;5282171;TRANSFERENCIA;
COB-000380;DOC-2024-00132;2024-04-29;USD;31047.19;TRANSFERENCIA;
COB-000393;DOC-2024-01862;2024-04-29;CLP;16035263;COMPENSACION;
COB-000411;DOC-2024-01936;2024-04-29;CLP;22795250;TRANSFERENCIA;
COB-000431;DOC-2024-00094;2024-04-29;USD;9187.99;TRANSFERENCIA;
COB-000446;DOC-2024-01322;2024-04-29;CLP;1033897;TRANSFERENCIA;
COB-000455;DOC-2024-01551;2024-04-29;CLP;3720482;TRANSFERENCIA;
COB-000461;DOC-2024-01938;2024-04-29;CLP;3804699;TRANSFERENCIA;
COB-000466;DOC-2024-01325;2024-04-29;CLP;12506816;TRANSFERENCIA;
COB-000488;DOC-2024-01698;2024-04-29;CLP;21823356;TRANSFERENCIA;
COB-000505;DOC-2024-00970;2024-04-29;CLP;2445700;TRANSFERENCIA;
COB-000532;DOC-2024-01627;2024-04-29;CLP;8470325;TRANSFERENCIA;
COB-000667;DOC-2024-01105;2024-04-29;CLP;1391724;TRANSFERENCIA;
COB-000671;DOC-2024-01305;2024-04-29;CLP;999314;CHEQUE;
COB-000695;DOC-2024-00171;2024-04-29;USD;40168.23;FACTORING;FCT-2024-0007
COB-000723;DOC-2024-00067;2024-04-29;USD;115861.33;FACTORING;FCT-2024-0009
COB-004284;DOC-2025-93355;2024-04-29;CLP;4902235;COMPENSACION;
COB-000084;DOC-2024-00358;2024-04-30;USD;21494.98;TRANSFERENCIA;
COB-000229;DOC-2024-01612;2024-04-30;CLP;3397233;TRANSFERENCIA;
COB-000633;DOC-2024-01879;2024-04-30;CLP;19786673;CHEQUE;
COB-000114;DOC-2024-01286;2024-05-02;CLP;14968943;TRANSFERENCIA;
COB-000194;DOC-2024-01216;2024-05-02;CLP;11300430;CHEQUE;
COB-000255;DOC-2024-01450;2024-05-02;CLP;16050363;TRANSFERENCIA;
COB-000778;DOC-2024-00107;2024-05-02;USD;12766.55;FACTORING;FCT-2024-0012
COB-000148;DOC-2024-01417;2024-05-03;CLP;3079945;COMPENSACION;
COB-000163;DOC-2024-00018;2024-05-03;USD;197572.78;CHEQUE;
COB-000222;DOC-2024-00774;2024-05-03;CLP;2263091;TRANSFERENCIA;
COB-000480;DOC-2024-01842;2024-05-03;CLP;12218308;TRANSFERENCIA;
COB-000584;DOC-2024-01072;2024-05-03;CLP;2905008;TRANSFERENCIA;
COB-000615;DOC-2024-00762;2024-05-03;CLP;1463862;TRANSFERENCIA;
COB-000176;DOC-2024-00853;2024-05-06;CLP;7863731;CHEQUE;
COB-000219;DOC-2024-00526;2024-05-06;CLP;5432491;TRANSFERENCIA;
COB-000279;DOC-2024-01721;2024-05-06;CLP;39469742;CHEQUE;
COB-000282;DOC-2024-01059;2024-05-06;CLP;9912463;TRANSFERENCIA;
COB-000334;DOC-2024-00529;2024-05-06;CLP;4518348;TRANSFERENCIA;
COB-000357;DOC-2024-01834;2024-05-06;CLP;29976720;TRANSFERENCIA;
COB-000398;DOC-2024-00247;2024-05-06;USD;15794.66;COMPENSACION;
COB-000457;DOC-2024-01655;2024-05-06;CLP;908614;TRANSFERENCIA;
COB-000497;DOC-2024-00309;2024-05-06;USD;16667.74;TRANSFERENCIA;
COB-000614;DOC-2024-00652;2024-05-06;CLP;16337554;TRANSFERENCIA;
COB-000617;DOC-2024-00782;2024-05-06;CLP;8715922;TRANSFERENCIA;
COB-000702;DOC-2024-01447;2024-05-06;CLP;12276994;TRANSFERENCIA;
COB-000707;DOC-2024-01892;2024-05-06;CLP;3351164;TRANSFERENCIA;
COB-000801;DOC-2024-00157;2024-05-06;USD;328648.56;FACTORING;FCT-2024-0013
COB-000817;DOC-2024-00100;2024-05-06;USD;103202.58;FACTORING;FCT-2024-0014
COB-000833;DOC-2024-01256;2024-05-06;CLP;15402968;TRANSFERENCIA;
