id_cliente;razon_social;rut;pais;segmento;fecha_alta;linea_credito_clp;clasificacion_riesgo;estado;ejecutivo_cobranza
CL0063;Pacific Fisheries Inc.;;ESTADOS UNIDOS;EXPORTADOR;2021-02-06;35000000;B;ACTIVO;Cristian Bravo Aguilera
CL0064;Gulfstream Food Import GmbH;;ESTADOS UNIDOS;EXPORTADOR;2019-09-29;165000000;C;ACTIVO;Cristian Bravo Aguilera
CL0065;Hokkai International Trading LLC;;JAPON;EXPORTADOR;2022-11-24;40000000;A;ACTIVO;Hector Manriquez Salas
CL0066;Gulfstream Fisheries Inc.;;ESTADOS UNIDOS;EXPORTADOR;2019-03-19;15000000;D;INACTIVO;Cristian Bravo Aguilera
CL0067;Kaiyo Fisheries Inc.;;JAPON;EXPORTADOR;2015-05-29;85000000;B;ACTIVO;Nataly Poblete Ruiz
CL0068;Ningbo Trading Co. Ltd.;;CHINA;EXPORTADOR;2022-11-23;235000000;D;ACTIVO;Ximena Toro Pacheco
CL0069;Northstar Food Import GmbH;;ESTADOS UNIDOS;EXPORTADOR;2021-09-01;20000000;B;ACTIVO;Cristian Bravo Aguilera
CL0070;Genova International Trading LLC;;ITALIA;EXPORTADOR;2014-01-11;40000000;A;ACTIVO;Paula Zambrano Leiva
CL0071;Hai Phong Marine Products Ltd.;;VIETNAM;EXPORTADOR;2021-05-10;15000000;A;INACTIVO;Nataly Poblete Ruiz
CL0072;Ningbo Trading Co. Ltd.;;CHINA;EXPORTADOR;2023-03-10;460000000;B;ACTIVO;Cristian Bravo Aguilera
CL0073;Gastronomica Trehuaco SpA;60.010.001-7;CHILE;FOODSERVICE;2022-08-05;195000000;B;ACTIVO;Nataly Poblete Ruiz
CL0074;Alimentos Quirihue y Cia. Ltda.;60.010.138-2;CHILE;FOODSERVICE;2014-01-03;1525000000;A;ACTIVO;Ximena Toro Pacheco
CL0075;Alimentos Biobio Ltda.;60.010.275-3;CHILE;FOODSERVICE;2012-11-19;85000000;B;ACTIVO;Nataly Poblete Ruiz
CL0076;Congelados Mulchen S.A.;60.010.412-8;CHILE;FOODSERVICE;2017-07-21;15000000;C;ACTIVO;Hector Manriquez Salas
CL0077;Gastronomica Cholguan Ltda.;60.010.549-3;CHILE;FOODSERVICE;2023-02-12;115000000;C;ACTIVO;Cristian Bravo Aguilera
CL0078;Inversiones Florida S.A.;60.010.686-4;CHILE;FOODSERVICE;2021-06-06;20000000;C;ACTIVO;Hector Manriquez Salas
CL0079;Sociedad Comercial Cabrero SpA;60.010.823-9;CHILE;FOODSERVICE;2014-09-04;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0080;Servicios de Alimentacion Lircay y Cia. Ltda.;60.010.960-K;CHILE;FOODSERVICE;2020-11-21;200000000;D;QUIEBRA;Paula Zambrano Leiva
CL0081;Servicios de Alimentacion Cabrero y Cia. Ltda.;60.011.097-7;CHILE;FOODSERVICE;2019-04-03;15000000;A;ACTIVO;Paula Zambrano Leiva
CL0082;Inversiones Chillan S.A.;60.011.234-1;CHILE;FOODSERVICE;2023-10-26;20000000;A;ACTIVO;Cristian Bravo Aguilera
CL0083;Comercial Quirihue Ltda.;60.011.371-2;CHILE;FOODSERVICE;2012-09-18;30000000;B;ACTIVO;Paula Zambrano Leiva
CL0084;Gastronomica Renaico y Cia. Ltda.;60.011.508-1;CHILE;FOODSERVICE;2013-11-02;30000000;C;ACTIVO;Nataly Poblete Ruiz
CL0085;Servicios de Alimentacion Yumbel S.A.;60.011.645-2;CHILE;FOODSERVICE;2023-05-17;25000000;C;ACTIVO;Hector Manriquez Salas
CL0086;Congelados Hualpen Ltda.;60.011.782-3;CHILE;FOODSERVICE;2021-05-13;20000000;C;ACTIVO;Ximena Toro Pacheco
CL0087;Alimentos Itata S.A.;60.011.919-2;CHILE;FOODSERVICE;2017-11-27;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0088;Distribuidora Arauco E.I.R.L.;60.012.056-5;CHILE;FOODSERVICE;2019-10-18;125000000;D;QUIEBRA;Cristian Bravo Aguilera
CL0089;Alimentos Los Angeles y Cia. Ltda.;60.012.193-6;CHILE;FOODSERVICE;2013-01-10;25000000;B;ACTIVO;Ximena Toro Pacheco
CL0090;Sociedad Comercial San Pedro S.A.;60.012.330-0;CHILE;FOODSERVICE;2015-06-25;110000000;C;ACTIVO;Hector Manriquez Salas
CL0091;Gastronomica Antuco SpA;60.012.467-6;CHILE;FOODSERVICE;2016-06-03;135000000;D;ACTIVO;Ximena Toro Pacheco
CL0092;Comercial Vergara Ltda.;60.012.604-0;CHILE;FOODSERVICE;2021-09-03;40000000;D;EN_COBRANZA_JUDICIAL;Cristian Bravo Aguilera
CL0093;Gastronomica Antuco SpA;60.012.741-1;CHILE;FOODSERVICE;2012-12-03;60000000;D;EN_COBRANZA_JUDICIAL;Hector Manriquez Salas
CL0094;Alimentos Cholguan y Cia. Ltda.;60.012.878-7;CHILE;FOODSERVICE;2014-03-10;100000000;C;ACTIVO;Cristian Bravo Aguilera
CL0095;Sociedad Comercial Quirihue S.A.;60.013.015-3;CHILE;FOODSERVICE;2020-01-22;15000000;C;ACTIVO;Nataly Poblete Ruiz
CL0096;Gastronomica Itata y Cia. Ltda.;60.013.152-4;CHILE;FOODSERVICE;2012-10-29;25000000;C;ACTIVO;Ximena Toro Pacheco
CL0097;Congelados Cobquecura SpA;60.013.289-K;CHILE;FOODSERVICE;2019-08-08;420000000;D;ACTIVO;Nataly Poblete Ruiz
CL0098;Comercial Lota E.I.R.L.;60.013.426-4;CHILE;FOODSERVICE;2017-08-17;15000000;C;ACTIVO;Cristian Bravo Aguilera
CL0099;Alimentos Tome Ltda.;60.013.563-5;CHILE;FOODSERVICE;2023-07-11;30000000;A;ACTIVO;Paula Zambrano Leiva
CL0100;Inversiones Bulnes S.A.;60.013.700-K;CHILE;FOODSERVICE;2017-08-21;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0101;Distribuidora Lota E.I.R.L.;60.013.837-5;CHILE;FOODSERVICE;2017-03-08;15000000;B;ACTIVO;Cristian Bravo Aguilera
CL0102;Gastronomica Puren y Cia. Ltda.;60.013.974-6;CHILE;FOODSERVICE;2012-10-30;15000000;B;ACTIVO;Nataly Poblete Ruiz
CL0103;Alimentos Vergara Ltda.;60.014.111-2;CHILE;FOODSERVICE;2016-11-09;15000000;B;ACTIVO;Paula Zambrano Leiva
CL0104;Sociedad Comercial San Pedro E.I.R.L.;60.014.248-8;CHILE;FOODSERVICE;2013-10-03;35000000;B;ACTIVO;Paula Zambrano Leiva
CL0105;Congelados Biobio y Cia. Ltda.;60.014.385-9;CHILE;FOODSERVICE;2019-11-21;25000000;A;ACTIVO;Cristian Bravo Aguilera
CL0106;Distribuidora Yumbel S.A.;60.014.522-3;CHILE;FOODSERVICE;2013-08-31;45000000;D;EN_COBRANZA_JUDICIAL;Hector Manriquez Salas
CL0107;Distribuidora Lircay SpA;60.014.659-9;CHILE;FOODSERVICE;2019-06-06;80000000;B;ACTIVO;Paula Zambrano Leiva
CL0108;Inversiones Nacimiento S.A.;60.014.796-K;CHILE;FOODSERVICE;2020-03-08;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0109;Alimentos Trehuaco S.A.;60.014.933-4;CHILE;FOODSERVICE;2020-02-13;20000000;A;ACTIVO;Nataly Poblete Ruiz
CL0110;Distribuidora Penco Ltda.;60.015.070-7;CHILE;FOODSERVICE;2015-07-16;75000000;D;ACTIVO;Paula Zambrano Leiva
CL0111;Congelados Lota S.A.;60.015.207-6;CHILE;FOODSERVICE;2019-07-04;35000000;B;ACTIVO;Nataly Poblete Ruiz
CL0112;Comercial Cabrero E.I.R.L.;60.015.344-7;CHILE;FOODSERVICE;2015-10-11;15000000;A;ACTIVO;Hector Manriquez Salas
CL0113;Alimentos Ninhue Ltda.;60.015.481-8;CHILE;FOODSERVICE;2015-02-06;90000000;A;ACTIVO;Hector Manriquez Salas
CL0114;Servicios de Alimentacion Ranquil y Cia. Ltda.;60.015.618-7;CHILE;FOODSERVICE;2013-08-09;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0115;Sociedad Comercial Florida E.I.R.L.;60.015.755-8;CHILE;FOODSERVICE;2014-09-26;35000000;C;ACTIVO;Nataly Poblete Ruiz
CL0116;Congelados Quillon Ltda.;60.015.892-9;CHILE;FOODSERVICE;2018-06-08;105000000;B;ACTIVO;Nataly Poblete Ruiz
CL0117;Gastronomica Quillon S.A.;60.016.029-K;CHILE;FOODSERVICE;2013-05-13;95000000;C;ACTIVO;Paula Zambrano Leiva
CL0118;Inversiones Portezuelo y Cia. Ltda.;60.016.166-0;CHILE;FOODSERVICE;2017-08-02;2210000000;C;ACTIVO;Cristian Bravo Aguilera
CL0119;Gastronomica Curanilahue y Cia. Ltda.;60.016.303-5;CHILE;FOODSERVICE;2019-04-13;30000000;C;ACTIVO;Cristian Bravo Aguilera
CL0120;Distribuidora Curanilahue Ltda.;60.016.440-6;CHILE;FOODSERVICE;2017-03-22;220000000;C;ACTIVO;Paula Zambrano Leiva
CL0121;Distribuidora Itata Ltda.;60.016.577-1;CHILE;FOODSERVICE;2018-04-07;40000000;B;ACTIVO;Paula Zambrano Leiva
CL0122;Sociedad Comercial Antuco S.A.;60.016.714-6;CHILE;FOODSERVICE;2016-03-05;25000000;C;ACTIVO;Paula Zambrano Leiva
CL0123;Alimentos Yumbel SpA;60.016.851-7;CHILE;FOODSERVICE;2012-09-19;45000000;C;ACTIVO;Paula Zambrano Leiva
CL0124;Sociedad Comercial San Pedro y Cia. Ltda.;60.016.988-2;CHILE;FOODSERVICE;2016-07-07;50000000;D;ACTIVO;Ximena Toro Pacheco
CL0125;Inversiones Coihueco Ltda.;60.017.125-9;CHILE;FOODSERVICE;2020-10-21;10000000;C;ACTIVO;Paula Zambrano Leiva
CL0126;Comercial Los Angeles Ltda.;60.017.262-K;CHILE;FOODSERVICE;2014-11-05;35000000;C;ACTIVO;Hector Manriquez Salas
CL0127;Gastronomica Cholguan S.A.;60.017.399-5;CHILE;FOODSERVICE;2020-08-26;30000000;B;ACTIVO;Cristian Bravo Aguilera
CL0128;Inversiones Coihueco SpA;60.017.536-K;CHILE;FOODSERVICE;2022-10-09;30000000;B;ACTIVO;Paula Zambrano Leiva
CL0129;Servicios de Alimentacion Coihueco y Cia. Ltda.;60.017.673-0;CHILE;FOODSERVICE;2014-08-22;20000000;C;ACTIVO;Ximena Toro Pacheco
CL0130;Distribuidora Mulchen S.A.;60.017.810-5;CHILE;FOODSERVICE;2015-03-22;20000000;C;ACTIVO;Cristian Bravo Aguilera
CL0131;Congelados Cobquecura y Cia. Ltda.;60.017.947-0;CHILE;FOODSERVICE;2015-12-13;20000000;B;ACTIVO;Ximena Toro Pacheco
CL0132;Gastronomica Bulnes SpA;60.018.084-3;CHILE;FOODSERVICE;2012-11-09;70000000;A;ACTIVO;Cristian Bravo Aguilera
CL0133;Alimentos Laraquete y Cia. Ltda.;60.018.221-8;CHILE;FOODSERVICE;2020-05-10;20000000;B;ACTIVO;Paula Zambrano Leiva
CL0134;Sociedad Comercial Vergara E.I.R.L.;60.018.358-3;CHILE;FOODSERVICE;2017-04-07;40000000;B;ACTIVO;Ximena Toro Pacheco
CL0135;Servicios de Alimentacion Santa Juana S.A.;60.018.495-4;CHILE;FOODSERVICE;2015-09-21;15000000;A;ACTIVO;Cristian Bravo Aguilera
CL0136;Congelados Ranquil Ltda.;60.018.632-9;CHILE;FOODSERVICE;2023-03-07;50000000;A;ACTIVO;Nataly Poblete Ruiz
CL0137;Congelados Nahuelbuta E.I.R.L.;60.018.769-4;CHILE;FOODSERVICE;2020-01-20;70000000;C;ACTIVO;Paula Zambrano Leiva
CL0138;Congelados Ninhue SpA;60.018.906-9;CHILE;FOODSERVICE;2015-11-10;30000000;B;ACTIVO;Ximena Toro Pacheco
CL0139;Distribuidora Bulnes SpA;60.019.043-1;CHILE;FOODSERVICE;2017-10-20;20000000;A;ACTIVO;Ximena Toro Pacheco
CL0140;Distribuidora Vergara y Cia. Ltda.;60.019.180-2;CHILE;FOODSERVICE;2013-05-01;70000000;C;ACTIVO;Cristian Bravo Aguilera
CL0141;Gastronomica Yumbel Ltda.;60.019.317-1;CHILE;FOODSERVICE;2016-01-19;15000000;A;ACTIVO;Hector Manriquez Salas
CL0142;Congelados Penco Ltda.;60.019.454-2;CHILE;FOODSERVICE;2021-12-26;180000000;D;ACTIVO;Hector Manriquez Salas
CL0143;Congelados Florida Ltda.;60.019.591-3;CHILE;FOODSERVICE;2013-10-14;35000000;A;ACTIVO;Hector Manriquez Salas
CL0144;Comercial Tome SpA;60.019.728-2;CHILE;FOODSERVICE;2021-01-18;100000000;B;ACTIVO;Cristian Bravo Aguilera
CL0145;Comercial Chillan E.I.R.L.;60.019.865-3;CHILE;FOODSERVICE;2020-06-03;15000000;B;ACTIVO;Ximena Toro Pacheco
CL0146;Comercial Laraquete S.A.;60.020.002-K;CHILE;FOODSERVICE;2016-11-25;15000000;B;ACTIVO;Ximena Toro Pacheco
CL0147;Sociedad Comercial Curanilahue y Cia. Ltda.;60.020.139-5;CHILE;FOODSERVICE;2017-03-03;25000000;B;ACTIVO;Ximena Toro Pacheco
CL0148;Servicios de Alimentacion Lota Ltda.;60.020.276-6;CHILE;FOODSERVICE;2018-12-12;20000000;B;ACTIVO;Ximena Toro Pacheco
CL0149;Distribuidora Coihueco E.I.R.L.;60.020.413-0;CHILE;FOODSERVICE;2020-06-14;15000000;B;ACTIVO;Cristian Bravo Aguilera
CL0150;Inversiones Ranquil S.A.;60.020.550-1;CHILE;FOODSERVICE;2020-12-10;25000000;B;ACTIVO;Cristian Bravo Aguilera
CL0151;Servicios de Alimentacion Coihueco E.I.R.L.;60.020.687-7;CHILE;FOODSERVICE;2020-09-05;20000000;C;ACTIVO;Ximena Toro Pacheco
CL0152;Sociedad Comercial Los Angeles E.I.R.L.;60.020.824-1;CHILE;FOODSERVICE;2014-03-19;15000000;A;ACTIVO;Hector Manriquez Salas
CL0153;Alimentos Rio Claro Ltda.;60.020.961-2;CHILE;FOODSERVICE;2015-04-05;20000000;C;ACTIVO;Cristian Bravo Aguilera
CL0154;Inversiones Coihueco S.A.;60.021.098-K;CHILE;FOODSERVICE;2013-06-18;30000000;B;ACTIVO;Cristian Bravo Aguilera
CL0155;Servicios de Alimentacion Curanilahue E.I.R.L.;60.021.235-4;CHILE;FOODSERVICE;2023-01-08;50000000;B;ACTIVO;Hector Manriquez Salas
CL0156;Comercial Itata Ltda.;60.021.372-5;CHILE;FOODSERVICE;2017-02-13;75000000;B;ACTIVO;Paula Zambrano Leiva
CL0157;Gastronomica Rucalhue E.I.R.L.;60.021.509-4;CHILE;FOODSERVICE;2022-10-31;25000000;B;ACTIVO;Cristian Bravo Aguilera
CL0158;Alimentos Puren SpA;60.021.646-5;CHILE;FOODSERVICE;2012-12-26;250000000;C;ACTIVO;Hector Manriquez Salas
CL0159;Inversiones Quirihue SpA;60.021.783-6;CHILE;FOODSERVICE;2014-01-30;80000000;D;ACTIVO;Ximena Toro Pacheco
CL0160;Comercial Santa Juana E.I.R.L.;60.021.920-0;CHILE;FOODSERVICE;2022-06-01;15000000;A;ACTIVO;Cristian Bravo Aguilera
CL0161;Gastronomica Puren Ltda.;60.022.057-8;CHILE;FOODSERVICE;2017-08-29;420000000;A;ACTIVO;Paula Zambrano Leiva
CL0162;Sociedad Comercial Laraquete y Cia. Ltda.;60.022.194-9;CHILE;FOODSERVICE;2018-08-23;115000000;D;EN_COBRANZA_JUDICIAL;Cristian Bravo Aguilera
CL0163;Gastronomica Lota SpA;60.022.331-3;CHILE;FOODSERVICE;2018-08-19;35000000;B;ACTIVO;Ximena Toro Pacheco
CL0164;Sociedad Comercial Itata y Cia. Ltda.;60.022.468-9;CHILE;FOODSERVICE;2014-05-08;50000000;C;ACTIVO;Paula Zambrano Leiva
CL0165;Inversiones Andes E.I.R.L.;60.022.605-3;CHILE;FOODSERVICE;2017-10-22;30000000;C;ACTIVO;Paula Zambrano Leiva
CL0166;Gastronomica Los Angeles Ltda.;60.022.742-4;CHILE;FOODSERVICE;2015-04-02;165000000;D;EN_COBRANZA_JUDICIAL;Paula Zambrano Leiva
CL0167;Congelados Quillon SpA;60.022.879-K;CHILE;FOODSERVICE;2021-10-22;20000000;B;ACTIVO;Paula Zambrano Leiva
CL0168;Congelados Florida y Cia. Ltda.;60.023.016-6;CHILE;FOODSERVICE;2023-09-12;15000000;B;ACTIVO;Nataly Poblete Ruiz
CL0169;Gastronomica Mulchen S.A.;60.023.153-7;CHILE;FOODSERVICE;2019-04-16;15000000;C;ACTIVO;Cristian Bravo Aguilera
CL0170;Distribuidora Pemuco y Cia. Ltda.;60.023.290-8;CHILE;FOODSERVICE;2016-07-19;45000000;B;ACTIVO;Ximena Toro Pacheco
CL0171;Sociedad Comercial Portezuelo y Cia. Ltda.;60.023.427-7;CHILE;FOODSERVICE;2022-09-10;25000000;C;ACTIVO;Nataly Poblete Ruiz
CL0172;Congelados Cobquecura Ltda.;60.023.564-8;CHILE;FOODSERVICE;2019-08-06;20000000;B;ACTIVO;Paula Zambrano Leiva
CL0173;Sociedad Comercial Penco y Cia. Ltda.;60.023.701-2;CHILE;FOODSERVICE;2018-02-14;25000000;B;ACTIVO;Ximena Toro Pacheco
CL0174;Gastronomica Santa Juana E.I.R.L.;60.023.838-8;CHILE;FOODSERVICE;2022-12-30;15000000;B;ACTIVO;Hector Manriquez Salas
CL0175;Comercial Nacimiento y Cia. Ltda.;60.023.975-9;CHILE;FOODSERVICE;2021-02-16;20000000;A;ACTIVO;Hector Manriquez Salas
CL0176;Alimentos Trehuaco SpA;60.024.112-5;CHILE;FOODSERVICE;2015-11-03;10000000;C;ACTIVO;Cristian Bravo Aguilera
CL0177;Gastronomica Chillan Ltda.;60.024.249-0;CHILE;FOODSERVICE;2015-07-10;30000000;B;ACTIVO;Cristian Bravo Aguilera
CL0178;Comercial Trehuaco E.I.R.L.;60.024.386-1;CHILE;FOODSERVICE;2018-08-26;45000000;C;ACTIVO;Cristian Bravo Aguilera
CL0179;Congelados Tome y Cia. Ltda.;60.024.523-6;CHILE;FOODSERVICE;2018-02-19;25000000;A;ACTIVO;Ximena Toro Pacheco
CL0180;Sociedad Comercial Santa Juana E.I.R.L.;60.024.660-7;CHILE;FOODSERVICE;2022-02-02;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0181;Sociedad Comercial Hualpen E.I.R.L.;60.024.797-2;CHILE;FOODSERVICE;2020-09-21;25000000;A;ACTIVO;Nataly Poblete Ruiz
CL0182;Servicios de Alimentacion Cholguan S.A.;60.024.934-7;CHILE;FOODSERVICE;2015-07-19;15000000;A;ACTIVO;Ximena Toro Pacheco
CL0183;Alimentos San Pedro SpA;60.025.071-K;CHILE;FOODSERVICE;2023-08-20;60000000;C;ACTIVO;Nataly Poblete Ruiz
CL0184;Distribuidora Bulnes S.A.;60.025.208-9;CHILE;FOODSERVICE;2020-11-22;275000000;D;QUIEBRA;Ximena Toro Pacheco
