fecha;moneda;tipo_cambio_clp;tipo_publicacion
2024-04-03;USD;836.90;OBSERVADO
2024-04-03;CLP;1.00;OBSERVADO
2024-04-04;USD;830.38;OBSERVADO
2024-04-04;CLP;1.00;OBSERVADO
2024-04-05;USD;830.33;OBSERVADO
2024-04-05;CLP;1.00;OBSERVADO
2024-04-06;USD;830.33;ARRASTRE
2024-04-06;CLP;1.00;ARRASTRE
2024-04-07;USD;830.33;ARRASTRE
2024-04-07;CLP;1.00;ARRASTRE
2024-04-08;USD;828.01;OBSERVADO
2024-04-08;CLP;1.00;OBSERVADO
2024-04-09;USD;832.38;OBSERVADO
2024-04-09;CLP;1.00;OBSERVADO
2024-04-10;USD;836.86;OBSERVADO
2024-04-10;CLP;1.00;OBSERVADO
2024-04-11;USD;842.39;OBSERVADO
2024-04-11;CLP;1.00;OBSERVADO
2024-04-12;USD;840.73;OBSERVADO
2024-04-12;CLP;1.00;OBSERVADO
2024-04-13;USD;840.73;ARRASTRE
2024-04-13;CLP;1.00;ARRASTRE
2024-04-14;USD;840.73;ARRASTRE
2024-04-14;CLP;1.00;ARRASTRE
2024-04-15;USD;843.15;OBSERVADO
2024-04-15;CLP;1.00;OBSERVADO
2024-04-16;USD;847.73;OBSERVADO
2024-04-16;CLP;1.00;OBSERVADO
2024-04-17;USD;845.75;OBSERVADO
2024-04-17;CLP;1.00;OBSERVADO
2024-04-18;USD;841.43;OBSERVADO
2024-04-18;CLP;1.00;OBSERVADO
2024-04-19;USD;839.55;OBSERVADO
2024-04-19;CLP;1.00;OBSERVADO
2024-04-20;USD;839.55;ARRASTRE
2024-04-20;CLP;1.00;ARRASTRE
2024-04-21;USD;839.55;ARRASTRE
2024-04-21;CLP;1.00;ARRASTRE
2024-04-22;USD;845.14;OBSERVADO
2024-04-22;CLP;1.00;OBSERVADO
2024-04-23;USD;847.26;OBSERVADO
2024-04-23;CLP;1.00;OBSERVADO
2024-04-24;USD;845.41;OBSERVADO
2024-04-24;CLP;1.00;OBSERVADO
2024-04-25;USD;841.03;OBSERVADO
2024-04-25;CLP;1.00;OBSERVADO
2024-04-26;USD;841.42;OBSERVADO
2024-04-26;CLP;1.00;OBSERVADO
2024-04-27;USD;841.42;ARRASTRE
2024-04-27;CLP;1.00;ARRASTRE
2024-04-28;USD;841.42;ARRASTRE
2024-04-28;CLP;1.00;ARRASTRE
2024-04-29;USD;843.08;OBSERVADO
2024-04-29;CLP;1.00;OBSERVADO
2024-04-30;USD;843.83;OBSERVADO
2024-04-30;CLP;1.00;OBSERVADO
2024-05-01;USD;843.83;ARRASTRE
2024-05-01;CLP;1.00;ARRASTRE
2024-05-02;USD;840.81;OBSERVADO
2024-05-02;CLP;1.00;OBSERVADO
2024-05-03;USD;838.83;OBSERVADO
2024-05-03;CLP;1.00;OBSERVADO
2024-05-04;USD;838.83;ARRASTRE
2024-05-04;CLP;1.00;ARRASTRE
2024-05-05;USD;838.83;ARRASTRE
2024-05-05;CLP;1.00;ARRASTRE
2024-05-06;USD;839.96;OBSERVADO
2024-05-06;CLP;1.00;OBSERVADO
2024-05-07;USD;838.16;OBSERVADO
2024-05-07;CLP;1.00;OBSERVADO
2024-05-08;USD;834.76;OBSERVADO
2024-05-08;CLP;1.00;OBSERVADO
2024-05-09;USD;837.07;OBSERVADO
2024-05-09;CLP;1.00;OBSERVADO
2024-05-10;USD;840.04;OBSERVADO
2024-05-10;CLP;1.00;OBSERVADO
2024-05-11;USD;840.04;ARRASTRE
2024-05-11;CLP;1.00;ARRASTRE
2024-05-12;USD;840.04;ARRASTRE
2024-05-12;CLP;1.00;ARRASTRE
2024-05-13;USD;840.69;OBSERVADO
2024-05-13;CLP;1.00;OBSERVADO
2024-05-14;USD;836.16;OBSERVADO
2024-05-14;CLP;1.00;OBSERVADO
2024-05-15;USD;836.91;OBSERVADO
2024-05-15;CLP;1.00;OBSERVADO
2024-05-16;USD;833.96;OBSERVADO
2024-05-16;CLP;1.00;OBSERVADO
2024-05-17;USD;835.55;OBSERVADO
2024-05-17;CLP;1.00;OBSERVADO
2024-05-18;USD;835.55;ARRASTRE
2024-05-18;CLP;1.00;ARRASTRE
2024-05-19;USD;835.55;ARRASTRE
2024-05-19;CLP;1.00;ARRASTRE
2024-05-20;USD;835.63;OBSERVADO
2024-05-20;CLP;1.00;OBSERVADO
2024-05-21;USD;835.63;ARRASTRE
2024-05-21;CLP;1.00;ARRASTRE
2024-05-22;USD;837.23;OBSERVADO
2024-05-22;CLP;1.00;OBSERVADO
2024-05-23;USD;839.57;OBSERVADO
2024-05-23;CLP;1.00;OBSERVADO
2024-05-24;USD;846.12;OBSERVADO
2024-05-24;CLP;1.00;OBSERVADO
2024-05-25;USD;846.12;ARRASTRE
2024-05-25;CLP;1.00;ARRASTRE
2024-05-26;USD;846.12;ARRASTRE
2024-05-26;CLP;1.00;ARRASTRE
2024-05-27;USD;842.33;OBSERVADO
2024-05-27;CLP;1.00;OBSERVADO
2024-05-28;USD;838.30;OBSERVADO
2024-05-28;CLP;1.00;OBSERVADO
2024-05-29;USD;847.54;OBSERVADO
2024-05-29;CLP;1.00;OBSERVADO
2024-05-30;USD;847.94;OBSERVADO
2024-05-30;CLP;1.00;OBSERVADO
2024-05-31;USD;847.68;OBSERVADO
2024-05-31;CLP;1.00;OBSERVADO
2024-06-01;USD;847.68;ARRASTRE
2024-06-01;CLP;1.00;ARRASTRE
2024-06-02;USD;847.68;ARRASTRE
2024-06-02;CLP;1.00;ARRASTRE
2024-06-03;USD;844.80;OBSERVADO
2024-06-03;CLP;1.00;OBSERVADO
2024-06-04;USD;847.11;OBSERVADO
2024-06-04;CLP;1.00;OBSERVADO
2024-06-05;USD;848.69;OBSERVADO
2024-06-05;CLP;1.00;OBSERVADO
2024-06-06;USD;850.34;OBSERVADO
2024-06-06;CLP;1.00;OBSERVADO
2024-06-07;USD;847.80;OBSERVADO
2024-06-07;CLP;1.00;OBSERVADO
2024-06-08;USD;847.80;ARRASTRE
2024-06-08;CLP;1.00;ARRASTRE
2024-06-09;USD;847.80;ARRASTRE
2024-06-09;CLP;1.00;ARRASTRE
2024-06-10;USD;850.27;OBSERVADO
2024-06-10;CLP;1.00;OBSERVADO
2024-06-11;USD;845.07;OBSERVADO
2024-06-11;CLP;1.00;OBSERVADO
2024-06-12;USD;851.84;OBSERVADO
2024-06-12;CLP;1.00;OBSERVADO
2024-06-13;USD;850.00;OBSERVADO
2024-06-13;CLP;1.00;OBSERVADO
2024-06-14;USD;848.46;OBSERVADO
2024-06-14;CLP;1.00;OBSERVADO
2024-06-15;USD;848.46;ARRASTRE
2024-06-15;CLP;1.00;ARRASTRE
2024-06-16;USD;848.46;ARRASTRE
2024-06-16;CLP;1.00;ARRASTRE
2024-06-17;USD;852.78;OBSERVADO
2024-06-17;CLP;1.00;OBSERVADO
2024-06-18;USD;850.20;OBSERVADO
2024-06-18;CLP;1.00;OBSERVADO
2024-06-19;USD;852.62;OBSERVADO
2024-06-19;CLP;1.00;OBSERVADO
2024-06-20;USD;852.62;ARRASTRE
2024-06-20;CLP;1.00;ARRASTRE
2024-06-21;USD;859.61;OBSERVADO
2024-06-21;CLP;1.00;OBSERVADO
2024-06-22;USD;859.61;ARRASTRE
2024-06-22;CLP;1.00;ARRASTRE
2024-06-23;USD;859.61;ARRASTRE
2024-06-23;CLP;1.00;ARRASTRE
2024-06-24;USD;859.77;OBSERVADO
2024-06-24;CLP;1.00;OBSERVADO
2024-06-25;USD;857.74;OBSERVADO
2024-06-25;CLP;1.00;OBSERVADO
2024-06-26;USD;853.60;OBSERVADO
2024-06-26;CLP;1.00;OBSERVADO
2024-06-27;USD;864.03;OBSERVADO
2024-06-27;CLP;1.00;OBSERVADO
2024-06-28;USD;864.11;OBSERVADO
2024-06-28;CLP;1.00;OBSERVADO
2024-06-29;USD;864.11;ARRASTRE
2024-06-29;CLP;1.00;ARRASTRE
2024-06-30;USD;864.11;ARRASTRE
2024-06-30;CLP;1.00;ARRASTRE
2024-07-01;USD;858.19;OBSERVADO
2024-07-01;CLP;1.00;OBSERVADO
2024-07-02;USD;858.91;OBSERVADO
2024-07-02;CLP;1.00;OBSERVADO
2024-07-03;USD;856.03;OBSERVADO
2024-07-03;CLP;1.00;OBSERVADO
2024-07-04;USD;858.58;OBSERVADO
2024-07-04;CLP;1.00;OBSERVADO
2024-07-05;USD;866.50;OBSERVADO
2024-07-05;CLP;1.00;OBSERVADO
2024-07-06;USD;866.50;ARRASTRE
2024-07-06;CLP;1.00;ARRASTRE
2024-07-07;USD;866.50;ARRASTRE
2024-07-07;CLP;1.00;ARRASTRE
2024-07-08;USD;868.62;OBSERVADO
2024-07-08;CLP;1.00;OBSERVADO
2024-07-09;USD;870.24;OBSERVADO
2024-07-09;CLP;1.00;OBSERVADO
2024-07-10;USD;867.34;OBSERVADO
2024-07-10;CLP;1.00;OBSERVADO
2024-07-11;USD;872.57;OBSERVADO
2024-07-11;CLP;1.00;OBSERVADO
2024-07-12;USD;873.14;OBSERVADO
2024-07-12;CLP;1.00;OBSERVADO
2024-07-13;USD;873.14;ARRASTRE
2024-07-13;CLP;1.00;ARRASTRE
2024-07-14;USD;873.14;ARRASTRE
2024-07-14;CLP;1.00;ARRASTRE
2024-07-15;USD;872.38;OBSERVADO
2024-07-15;CLP;1.00;OBSERVADO
2024-07-16;USD;872.38;ARRASTRE
2024-07-16;CLP;1.00;ARRASTRE
2024-07-17;USD;877.76;OBSERVADO
2024-07-17;CLP;1.00;OBSERVADO
2024-07-18;USD;874.98;OBSERVADO
2024-07-18;CLP;1.00;OBSERVADO
2024-07-19;USD;880.78;OBSERVADO
2024-07-19;CLP;1.00;OBSERVADO
2024-07-20;USD;880.78;ARRASTRE
2024-07-20;CLP;1.00;ARRASTRE
2024-07-21;USD;880.78;ARRASTRE
2024-07-21;CLP;1.00;ARRASTRE
2024-07-22;USD;884.25;OBSERVADO
2024-07-22;CLP;1.00;OBSERVADO
2024-07-23;USD;888.34;OBSERVADO
2024-07-23;CLP;1.00;OBSERVADO
2024-07-24;USD;885.01;OBSERVADO
2024-07-24;CLP;1.00;OBSERVADO
2024-07-25;USD;890.09;OBSERVADO
2024-07-25;CLP;1.00;OBSERVADO
2024-07-26;USD;891.13;OBSERVADO
2024-07-26;CLP;1.00;OBSERVADO
2024-07-27;USD;891.13;ARRASTRE
2024-07-27;CLP;1.00;ARRASTRE
2024-07-28;USD;891.13;ARRASTRE
2024-07-28;CLP;1.00;ARRASTRE
2024-07-29;USD;893.38;OBSERVADO
2024-07-29;CLP;1.00;OBSERVADO
2024-07-30;USD;890.86;OBSERVADO
2024-07-30;CLP;1.00;OBSERVADO
2024-07-31;USD;889.39;OBSERVADO
2024-07-31;CLP;1.00;OBSERVADO
2024-08-01;USD;892.05;OBSERVADO
2024-08-01;CLP;1.00;OBSERVADO
2024-08-02;USD;890.55;OBSERVADO
2024-08-02;CLP;1.00;OBSERVADO
2024-08-03;USD;890.55;ARRASTRE
2024-08-03;CLP;1.00;ARRASTRE
2024-08-04;USD;890.55;ARRASTRE
2024-08-04;CLP;1.00;ARRASTRE
2024-08-05;USD;896.21;OBSERVADO
2024-08-05;CLP;1.00;OBSERVADO
2024-08-06;USD;892.31;OBSERVADO
2024-08-06;CLP;1.00;OBSERVADO
2024-08-07;USD;897.15;OBSERVADO
2024-08-07;CLP;1.00;OBSERVADO
2024-08-08;USD;893.29;OBSERVADO
2024-08-08;CLP;1.00;OBSERVADO
2024-08-09;USD;897.46;OBSERVADO
2024-08-09;CLP;1.00;OBSERVADO
2024-08-10;USD;897.46;ARRASTRE
2024-08-10;CLP;1.00;ARRASTRE
2024-08-11;USD;897.46;ARRASTRE
2024-08-11;CLP;1.00;ARRASTRE
2024-08-12;USD;901.51;OBSERVADO
2024-08-12;CLP;1.00;OBSERVADO
2024-08-13;USD;910.77;OBSERVADO
2024-08-13;CLP;1.00;OBSERVADO
2024-08-14;USD;913.99;OBSERVADO
2024-08-14;CLP;1.00;OBSERVADO
2024-08-15;USD;913.99;ARRASTRE
2024-08-15;CLP;1.00;ARRASTRE
2024-08-16;USD;913.49;OBSERVADO
2024-08-16;CLP;1.00;OBSERVADO
2024-08-17;USD;913.49;ARRASTRE
2024-08-17;CLP;1.00;ARRASTRE
2024-08-18;USD;913.49;ARRASTRE
2024-08-18;CLP;1.00;ARRASTRE
2024-08-19;USD;916.32;OBSERVADO
2024-08-19;CLP;1.00;OBSERVADO
2024-08-20;USD;916.66;OBSERVADO
2024-08-20;CLP;1.00;OBSERVADO
2024-08-21;USD;924.62;OBSERVADO
2024-08-21;CLP;1.00;OBSERVADO
2024-08-22;USD;915.37;OBSERVADO
2024-08-22;CLP;1.00;OBSERVADO
2024-08-23;USD;917.24;OBSERVADO
2024-08-23;CLP;1.00;OBSERVADO
2024-08-24;USD;917.24;ARRASTRE
2024-08-24;CLP;1.00;ARRASTRE
2024-08-25;USD;917.24;ARRASTRE
2024-08-25;CLP;1.00;ARRASTRE
2024-08-26;USD;920.69;OBSERVADO
2024-08-26;CLP;1.00;OBSERVADO
2024-08-27;USD;922.22;OBSERVADO
2024-08-27;CLP;1.00;OBSERVADO
2024-08-28;USD;918.12;OBSERVADO
2024-08-28;CLP;1.00;OBSERVADO
2024-08-29;USD;926.36;OBSERVADO
2024-08-29;CLP;1.00;OBSERVADO
2024-08-30;USD;933.45;OBSERVADO
2024-08-30;CLP;1.00;OBSERVADO
2024-08-31;USD;933.45;ARRASTRE
2024-08-31;CLP;1.00;ARRASTRE
2024-09-01;USD;933.45;ARRASTRE
2024-09-01;CLP;1.00;ARRASTRE
2024-09-02;USD;937.41;OBSERVADO
2024-09-02;CLP;1.00;OBSERVADO
2024-09-03;USD;940.18;OBSERVADO
2024-09-03;CLP;1.00;OBSERVADO
2024-09-04;USD;938.56;OBSERVADO
2024-09-04;CLP;1.00;OBSERVADO
2024-09-05;USD;940.46;OBSERVADO
2024-09-05;CLP;1.00;OBSERVADO
2024-09-06;USD;940.33;OBSERVADO
2024-09-06;CLP;1.00;OBSERVADO
2024-09-07;USD;940.33;ARRASTRE
2024-09-07;CLP;1.00;ARRASTRE
2024-09-08;USD;940.33;ARRASTRE
2024-09-08;CLP;1.00;ARRASTRE
2024-09-09;USD;941.51;OBSERVADO
2024-09-09;CLP;1.00;OBSERVADO
2024-09-10;USD;932.13;OBSERVADO
2024-09-10;CLP;1.00;OBSERVADO
2024-09-11;USD;932.13;OBSERVADO
2024-09-11;CLP;1.00;OBSERVADO
2024-09-12;USD;927.85;OBSERVADO
2024-09-12;CLP;1.00;OBSERVADO
2024-09-13;USD;930.88;OBSERVADO
2024-09-13;CLP;1.00;OBSERVADO
2024-09-14;USD;930.88;ARRASTRE
2024-09-14;CLP;1.00;ARRASTRE
2024-09-15;USD;930.88;ARRASTRE
2024-09-15;CLP;1.00;ARRASTRE
2024-09-16;USD;930.95;OBSERVADO
2024-09-16;CLP;1.00;OBSERVADO
2024-09-17;USD;935.43;OBSERVADO
2024-09-17;CLP;1.00;OBSERVADO
2024-09-18;USD;935.43;ARRASTRE
2024-09-18;CLP;1.00;ARRASTRE
2024-09-19;USD;935.43;ARRASTRE
2024-09-19;CLP;1.00;ARRASTRE
2024-09-20;USD;933.64;OBSERVADO
2024-09-20;CLP;1.00;OBSERVADO
2024-09-21;USD;933.64;ARRASTRE
2024-09-21;CLP;1.00;ARRASTRE
2024-09-22;USD;933.64;ARRASTRE
2024-09-22;CLP;1.00;ARRASTRE
2024-09-23;USD;929.35;OBSERVADO
2024-09-23;CLP;1.00;OBSERVADO
2024-09-24;USD;922.48;OBSERVADO
2024-09-24;CLP;1.00;OBSERVADO
2024-09-25;USD;929.05;OBSERVADO
2024-09-25;CLP;1.00;OBSERVADO
2024-09-26;USD;926.22;OBSERVADO
2024-09-26;CLP;1.00;OBSERVADO
2024-09-27;USD;928.28;OBSERVADO
2024-09-27;CLP;1.00;OBSERVADO
2024-09-28;USD;928.28;ARRASTRE
2024-09-28;CLP;1.00;ARRASTRE
2024-09-29;USD;928.28;ARRASTRE
2024-09-29;CLP;1.00;ARRASTRE
2024-09-30;USD;923.92;OBSERVADO
2024-09-30;CLP;1.00;OBSERVADO
2024-10-01;USD;925.32;OBSERVADO
2024-10-01;CLP;1.00;OBSERVADO
2024-10-02;USD;928.65;OBSERVADO
2024-10-02;CLP;1.00;OBSERVADO
2024-10-03;USD;925.85;OBSERVADO
2024-10-03;CLP;1.00;OBSERVADO
2024-10-04;USD;919.08;OBSERVADO
2024-10-04;CLP;1.00;OBSERVADO
2024-10-05;USD;919.08;ARRASTRE
2024-10-05;CLP;1.00;ARRASTRE
2024-10-06;USD;919.08;ARRASTRE
2024-10-06;CLP;1.00;ARRASTRE
2024-10-07;USD;920.78;OBSERVADO
2024-10-07;CLP;1.00;OBSERVADO
2024-10-08;USD;914.44;OBSERVADO
2024-10-08;CLP;1.00;OBSERVADO
2024-10-09;USD;911.53;OBSERVADO
2024-10-09;CLP;1.00;OBSERVADO
2024-10-10;USD;912.69;OBSERVADO
2024-10-10;CLP;1.00;OBSERVADO
2024-10-11;USD;910.49;OBSERVADO
2024-10-11;CLP;1.00;OBSERVADO
2024-10-12;USD;910.49;ARRASTRE
2024-10-12;CLP;1.00;ARRASTRE
2024-10-13;USD;910.49;ARRASTRE
2024-10-13;CLP;1.00;ARRASTRE
2024-10-14;USD;909.59;OBSERVADO
2024-10-14;CLP;1.00;OBSERVADO
2024-10-15;USD;903.39;OBSERVADO
2024-10-15;CLP;1.00;OBSERVADO
2024-10-16;USD;902.67;OBSERVADO
2024-10-16;CLP;1.00;OBSERVADO
2024-10-17;USD;898.58;OBSERVADO
2024-10-17;CLP;1.00;OBSERVADO
2024-10-18;USD;897.53;OBSERVADO
2024-10-18;CLP;1.00;OBSERVADO
2024-10-19;USD;897.53;ARRASTRE
2024-10-19;CLP;1.00;ARRASTRE
2024-10-20;USD;897.53;ARRASTRE
2024-10-20;CLP;1.00;ARRASTRE
2024-10-21;USD;896.87;OBSERVADO
2024-10-21;CLP;1.00;OBSERVADO
2024-10-22;USD;898.54;OBSERVADO
2024-10-22;CLP;1.00;OBSERVADO
2024-10-23;USD;903.19;OBSERVADO
2024-10-23;CLP;1.00;OBSERVADO
2024-10-24;USD;902.65;OBSERVADO
2024-10-24;CLP;1.00;OBSERVADO
2024-10-25;USD;900.59;OBSERVADO
2024-10-25;CLP;1.00;OBSERVADO
2024-10-26;USD;900.59;ARRASTRE
2024-10-26;CLP;1.00;ARRASTRE
2024-10-27;USD;900.59;ARRASTRE
2024-10-27;CLP;1.00;ARRASTRE
2024-10-28;USD;898.34;OBSERVADO
2024-10-28;CLP;1.00;OBSERVADO
2024-10-29;USD;897.31;OBSERVADO
2024-10-29;CLP;1.00;OBSERVADO
2024-10-30;USD;896.87;OBSERVADO
2024-10-30;CLP;1.00;OBSERVADO
2024-10-31;USD;896.87;ARRASTRE
2024-10-31;CLP;1.00;ARRASTRE
2024-11-01;USD;896.87;ARRASTRE
2024-11-01;CLP;1.00;ARRASTRE
2024-11-02;USD;896.87;ARRASTRE
2024-11-02;CLP;1.00;ARRASTRE
2024-11-03;USD;896.87;ARRASTRE
2024-11-03;CLP;1.00;ARRASTRE
2024-11-04;USD;890.69;OBSERVADO
2024-11-04;CLP;1.00;OBSERVADO
2024-11-05;USD;888.17;OBSERVADO
